frame,timestamp,type,label,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2,center_u,center_v,depth_mm,x_mm,y_mm,z_mm,display_fps,rgb_rx_fps,depth_msg_rx_fps,depth_rx_fps,detect_fps,infer_ms,last_infer_ms,det_count,depth_age_ms,grasp_status,stable_frames,grasp_sample_count,raw_depth_valid,roi_valid_count,roi_total_count,primary_conf,raw_center_u,raw_center_v,smooth_center_u,smooth_center_v,grasp_x_mm,grasp_y_mm,grasp_z_mm,grasp_depth_mm,qr_texts,qr_live_count,qr_memory_count,qr_decode_ms,qr_source,qr_scan_mode,qr_scan_rois,qr_busy,raw_rgb_age_ms,det_summary,object_results
1,2026-08-10T09:50:55.988,perf,runtime,,,,,,,,,,,,0.55,0.55,0.0,0.0,0.55,84.9,84.9,1,0.0,stabilizing 1/2,1,0,,,,0.831,621,593,621,593,,,,,,0,0,0.0,,,0,0,0.0,plastic bag:0.83,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.831,""qr"":"""",""valid"":false,""x_mm"":"""",""y_mm"":"""",""z_mm"":"""",""status"":""stabilizing 1/2""}]"
5,2026-08-10T09:50:56.522,perf,runtime,,,,,,,,,,,,7.49,7.49,1.87,1.87,7.49,27.9,17.2,1,80.5,no depth,5,0,,,,0.866,621,593,621,593,,,,,,0,0,0.0,,,0,0,0.0,plastic bag:0.87,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.866,""qr"":"""",""valid"":false,""x_mm"":"""",""y_mm"":"""",""z_mm"":"""",""status"":""no depth""}]"
8,2026-08-10T09:50:57.086,perf,runtime,,,,,,,,,,,,5.33,5.33,0.0,0.0,5.33,21.9,11.6,1,643.6,no depth,8,0,,,,0.86,621,591,621,592,,,,,,0,0,0.0,,,0,0,0.0,plastic bag:0.86,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.86,""qr"":"""",""valid"":false,""x_mm"":"""",""y_mm"":"""",""z_mm"":"""",""status"":""no depth""}]"
11,2026-08-10T09:50:57.705,perf,runtime,,,,,,,,,,,,4.85,4.85,3.23,1.62,4.85,20.5,18.0,2,528.7,no depth,11,0,,,,0.85,621,593,621,592,,,,,,0,0,0.0,,,0,0,0.0,plastic bag:0.85;plastic bag:0.39,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.85,""qr"":"""",""valid"":false,""x_mm"":"""",""y_mm"":"""",""z_mm"":"""",""status"":""no depth""},{""idx"":2,""label"":""plastic bag"",""conf"":0.389,""qr"":"""",""valid"":false,""x_mm"":"""",""y_mm"":"""",""z_mm"":"""",""status"":""no depth""}]"
15,2026-08-10T09:50:58.301,perf,runtime,,,,,,,,,,,,6.71,6.71,1.68,3.36,6.71,18.7,16.0,1,151.8,valid,15,2,True,69136,70784,0.855,621,592,621,592,-25.9,191.1,977.0,977.0,,0,0,0.0,,,0,0,0.0,plastic bag:0.85,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.855,""qr"":"""",""valid"":true,""x_mm"":-25.9,""y_mm"":191.1,""z_mm"":977.0,""status"":""valid""}]"
19,2026-08-10T09:50:58.967,perf,runtime,,,,,,,,,,,,6.01,7.51,3.0,3.0,6.01,18.9,37.9,2,14.2,valid,19,2,True,69940,71008,0.852,620,593,620,592,-25.9,191.5,979.0,979.0,,0,0,0.0,,,0,0,0.0,plastic bag:0.85;plastic bag:0.71,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.852,""qr"":"""",""valid"":true,""x_mm"":-25.9,""y_mm"":191.5,""z_mm"":979.0,""status"":""valid""},{""idx"":2,""label"":""plastic bag"",""conf"":0.707,""qr"":"""",""valid"":true,""x_mm"":560.0,""y_mm"":109.9,""z_mm"":930.0,""status"":""secondary valid""}]"
24,2026-08-10T09:50:59.527,perf,runtime,,,,,,,,,,,,8.93,7.14,3.57,1.79,8.93,17.9,16.0,1,353.7,valid,24,2,True,69846,70914,0.821,620,592,621,592,-26.4,192.2,979.5,979.5,,0,0,0.0,,,0,0,0.0,plastic bag:0.82,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.821,""qr"":"""",""valid"":true,""x_mm"":-26.4,""y_mm"":192.2,""z_mm"":979.5,""status"":""valid""}]"
28,2026-08-10T09:51:00.176,perf,runtime,,,,,,,,,,,,6.16,6.16,1.54,3.08,6.16,17.0,10.0,2,234.7,valid,28,2,True,69345,71137,0.845,620,593,620,592,-27.0,191.6,979.5,979.5,,0,0,0.0,,,0,0,0.0,plastic bag:0.85;plastic bag:0.58,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.845,""qr"":"""",""valid"":true,""x_mm"":-27.0,""y_mm"":191.6,""z_mm"":979.5,""status"":""valid""},{""idx"":2,""label"":""plastic bag"",""conf"":0.578,""qr"":"""",""valid"":true,""x_mm"":561.3,""y_mm"":103.3,""z_mm"":934.0,""status"":""secondary valid""}]"
32,2026-08-10T09:51:00.816,perf,runtime,,,,,,,,,,,,6.25,6.25,3.12,3.12,6.25,14.3,9.6,1,212.3,valid,32,2,True,69896,71550,0.843,620,591,620,592,-26.5,191.7,982.5,982.5,,0,0,0.0,,,0,0,0.0,plastic bag:0.84,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.843,""qr"":"""",""valid"":true,""x_mm"":-26.5,""y_mm"":191.7,""z_mm"":982.5,""status"":""valid""}]"
36,2026-08-10T09:51:01.334,perf,runtime,,,,,,,,,,,,7.73,7.73,3.86,3.86,7.73,14.3,13.4,1,81.2,valid,36,2,True,67796,69204,0.764,620,600,620,596,-26.9,194.6,973.5,973.5,,0,0,0.0,,,0,0,0.0,plastic bag:0.76,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.764,""qr"":"""",""valid"":true,""x_mm"":-26.9,""y_mm"":194.6,""z_mm"":973.5,""status"":""valid""}]"
40,2026-08-10T09:51:01.998,perf,runtime,,,,,,,,,,,,6.02,6.02,3.01,3.01,6.02,14.8,30.6,1,66.2,valid,40,2,True,67376,68572,0.797,621,597,621,597,-26.2,196.4,971.5,971.5,,0,0,0.0,,,0,0,0.0,plastic bag:0.80,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.797,""qr"":"""",""valid"":true,""x_mm"":-26.2,""y_mm"":196.4,""z_mm"":971.5,""status"":""valid""}]"
45,2026-08-10T09:51:02.506,perf,runtime,,,,,,,,,,,,9.85,9.85,3.94,3.94,9.85,15.1,17.7,1,14.0,valid,45,2,True,68234,69106,0.858,621,595,620,596,-26.4,196.8,976.5,976.5,,0,0,0.0,,,0,0,0.0,plastic bag:0.86,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.858,""qr"":"""",""valid"":true,""x_mm"":-26.4,""y_mm"":196.8,""z_mm"":976.5,""status"":""valid""}]"
50,2026-08-10T09:51:03.027,perf,runtime,,,,,,,,,,,,9.58,9.58,1.92,1.92,9.58,15.1,12.4,1,251.3,valid,50,2,True,67880,69324,0.812,621,595,621,595,-25.9,195.8,979.5,979.5,,0,0,0.0,,,0,0,0.0,plastic bag:0.81,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.812,""qr"":"""",""valid"":true,""x_mm"":-25.9,""y_mm"":195.8,""z_mm"":979.5,""status"":""valid""}]"
54,2026-08-10T09:51:03.571,perf,runtime,,,,,,,,,,,,7.35,7.35,3.68,3.68,7.35,14.8,13.0,1,120.1,valid,54,2,True,67504,69324,0.848,622,595,621,596,-25.8,195.2,973.5,973.5,,0,0,0.0,,,0,0,0.0,plastic bag:0.85,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.848,""qr"":"""",""valid"":true,""x_mm"":-25.8,""y_mm"":195.2,""z_mm"":973.5,""status"":""valid""}]"
60,2026-08-10T09:51:04.109,perf,runtime,,,,,,,,,,,,11.16,11.16,1.86,1.86,11.16,15.6,11.9,1,256.0,valid,60,2,True,68266,69324,0.842,621,594,621,596,-25.4,196.4,980.0,980.0,,0,0,0.0,,,0,0,0.0,plastic bag:0.84,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.842,""qr"":"""",""valid"":true,""x_mm"":-25.4,""y_mm"":196.4,""z_mm"":980.0,""status"":""valid""}]"
66,2026-08-10T09:51:04.677,perf,runtime,,,,,,,,,,,,10.57,10.57,3.52,3.52,10.57,15.6,10.0,1,102.7,valid,66,2,True,67860,69106,0.846,622,595,621,596,-24.8,196.2,976.0,976.0,,0,0,0.0,,,0,0,0.0,plastic bag:0.85,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.846,""qr"":"""",""valid"":true,""x_mm"":-24.8,""y_mm"":196.2,""z_mm"":976.0,""status"":""valid""}]"
71,2026-08-10T09:51:05.255,perf,runtime,,,,,,,,,,,,6.92,8.65,1.73,1.73,6.92,15.3,13.9,1,311.8,valid,70,2,True,67671,69423,0.801,620,598,621,596,-24.7,195.9,974.5,974.5,,0,0,0.0,,,0,0,0.0,plastic bag:0.80,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.801,""qr"":"""",""valid"":true,""x_mm"":-24.7,""y_mm"":195.9,""z_mm"":974.5,""status"":""valid""}]"
76,2026-08-10T09:51:05.821,perf,runtime,,,,,,,,,,,,8.84,8.84,3.54,3.54,8.84,14.5,10.3,1,55.3,valid,75,2,True,67860,69006,0.842,621,596,621,596,-25.9,196.4,977.0,977.0,,0,0,0.0,,,0,0,0.0,plastic bag:0.84,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.842,""qr"":"""",""valid"":true,""x_mm"":-25.9,""y_mm"":196.4,""z_mm"":977.0,""status"":""valid""}]"
