frame,timestamp,type,label,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2,center_u,center_v,depth_mm,x_mm,y_mm,z_mm,display_fps,rgb_rx_fps,depth_msg_rx_fps,depth_rx_fps,detect_fps,infer_ms,last_infer_ms,det_count,depth_age_ms,grasp_status,stable_frames,grasp_sample_count,raw_depth_valid,roi_valid_count,roi_total_count,primary_conf,raw_center_u,raw_center_v,smooth_center_u,smooth_center_v,grasp_x_mm,grasp_y_mm,grasp_z_mm,grasp_depth_mm,qr_texts,qr_live_count,qr_memory_count,qr_decode_ms,qr_source,qr_scan_mode,qr_scan_rois,qr_busy,raw_rgb_age_ms,det_summary,object_results
1,2026-08-10T15:33:13.870,perf,runtime,,,,,,,,,,,,0.66,0.66,0.0,0.0,0.66,36.4,36.4,1,0.0,stabilizing 1/2,1,0,,,,0.307,650,656,650,656,,,,,,0,0,0.0,,,0,0,0.0,plastic bag:0.31,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.307,""qr"":"""",""valid"":false,""x_mm"":"""",""y_mm"":"""",""z_mm"":"""",""status"":""stabilizing 1/2""}]"
4,2026-08-10T15:33:14.472,perf,runtime,,,,,,,,,,,,4.98,4.98,1.66,0.0,4.98,13.1,5.7,1,0.0,no depth,3,0,,,,0.356,648,656,649,656,,,,,,0,0,0.0,,,0,0,0.0,plastic bag:0.36,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.356,""qr"":"""",""valid"":false,""x_mm"":"""",""y_mm"":"""",""z_mm"":"""",""status"":""no depth""}]"
7,2026-08-10T15:33:15.066,perf,runtime,,,,,,,,,,,,5.05,5.05,0.0,1.68,5.05,10.3,5.8,1,593.6,stabilizing 1/2,1,0,,,,0.361,650,657,650,657,,,,,,0,0,0.0,,,0,0,0.0,plastic bag:0.36,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.361,""qr"":"""",""valid"":false,""x_mm"":"""",""y_mm"":"""",""z_mm"":"""",""status"":""stabilizing 1/2""}]"
11,2026-08-10T15:33:15.822,perf,runtime,,,,,,,,,,,,5.29,5.29,1.32,1.32,5.29,8.9,12.5,1,497.5,valid,4,1,True,38594,39308,0.447,650,657,649,657,4.9,266.3,938.0,938.0,,0,0,0.0,,,0,0,0.0,plastic bag:0.45,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.447,""qr"":"""",""valid"":true,""x_mm"":4.9,""y_mm"":266.3,""z_mm"":938.0,""status"":""valid""}]"
14,2026-08-10T15:33:16.328,perf,runtime,,,,,,,,,,,,5.93,5.93,0.0,0.0,5.93,8.4,7.4,1,1003.3,valid,7,1,True,37726,38440,0.523,644,656,648,657,2.8,265.7,936.0,936.0,,0,0,0.0,,,0,0,0.0,plastic bag:0.52,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.523,""qr"":"""",""valid"":true,""x_mm"":2.8,""y_mm"":265.7,""z_mm"":936.0,""status"":""valid""}]"
17,2026-08-10T15:33:16.922,perf,runtime,,,,,,,,,,,,5.04,5.04,0.0,0.0,5.04,8.4,12.2,1,1598.0,stale depth 1580ms,8,1,,,,0.359,650,657,648,657,,,,,,0,0,0.0,,,0,0,0.0,plastic bag:0.36,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.359,""qr"":"""",""valid"":false,""x_mm"":"""",""y_mm"":"""",""z_mm"":"""",""status"":""stale depth 1580ms""}]"
22,2026-08-10T15:33:17.439,perf,runtime,,,,,,,,,,,,9.67,9.67,1.93,1.93,9.67,8.1,5.8,1,492.3,valid,12,2,True,37636,38564,0.35,647,657,648,657,3.9,267.1,941.0,941.0,,0,0,0.0,,,0,0,0.0,plastic bag:0.35,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.35,""qr"":"""",""valid"":true,""x_mm"":3.9,""y_mm"":267.1,""z_mm"":941.0,""status"":""valid""}]"
25,2026-08-10T15:33:18.025,perf,runtime,,,,,,,,,,,,5.12,5.12,0.0,0.0,5.12,8.2,10.6,1,1078.4,valid,15,2,,,,0.334,646,656,647,657,3.9,267.1,941.0,941.0,,0,0,0.0,,,0,0,0.0,plastic bag:0.33,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.334,""qr"":"""",""valid"":true,""x_mm"":3.9,""y_mm"":267.1,""z_mm"":941.0,""status"":""valid""}]"
29,2026-08-10T15:33:18.618,perf,runtime,,,,,,,,,,,,6.74,6.74,1.69,1.69,6.74,8.1,4.9,1,27.4,valid,16,2,True,37770,38564,0.314,648,657,647,657,2.8,267.4,942.0,942.0,,0,0,0.0,,,0,0,0.0,plastic bag:0.31,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.314,""qr"":"""",""valid"":true,""x_mm"":2.8,""y_mm"":267.4,""z_mm"":942.0,""status"":""valid""}]"
33,2026-08-10T15:33:19.178,perf,runtime,,,,,,,,,,,,7.14,7.14,0.0,0.0,7.14,7.3,9.0,1,587.5,valid,19,2,True,37456,38250,0.406,646,656,647,656,2.8,267.4,942.0,942.0,,0,0,0.0,,,0,0,0.0,plastic bag:0.41,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.406,""qr"":"""",""valid"":true,""x_mm"":2.8,""y_mm"":267.4,""z_mm"":942.0,""status"":""valid""}]"
38,2026-08-10T15:33:20.000,perf,runtime,,,,,,,,,,,,6.08,6.08,1.22,1.22,6.08,7.4,8.4,2,595.5,valid,23,2,True,37473,38375,0.356,645,657,647,656,2.8,266.9,940.0,940.0,,0,0,0.0,,,0,0,0.0,plastic bag:0.36;plastic bag:0.31,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.356,""qr"":"""",""valid"":true,""x_mm"":2.8,""y_mm"":266.9,""z_mm"":940.0,""status"":""valid""},{""idx"":2,""label"":""plastic bag"",""conf"":0.313,""qr"":"""",""valid"":true,""x_mm"":-11.1,""y_mm"":-1698.9,""z_mm"":4522.0,""status"":""secondary valid""}]"
