frame,timestamp,type,label,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2,center_u,center_v,depth_mm,x_mm,y_mm,z_mm,display_fps,rgb_rx_fps,depth_msg_rx_fps,depth_rx_fps,detect_fps,infer_ms,last_infer_ms,det_count,depth_age_ms,grasp_status,stable_frames,grasp_sample_count,raw_depth_valid,roi_valid_count,roi_total_count,primary_conf,raw_center_u,raw_center_v,smooth_center_u,smooth_center_v,grasp_x_mm,grasp_y_mm,grasp_z_mm,grasp_depth_mm,qr_texts,qr_live_count,qr_memory_count,qr_decode_ms,qr_source,qr_scan_mode,qr_scan_rois,qr_busy,raw_rgb_age_ms,det_summary,object_results
1,2026-08-10T15:47:59.978,perf,runtime,,,,,,,,,,,,1.12,1.12,0.0,0.0,1.12,39.9,39.9,1,0.0,stabilizing 1/2,1,0,,,,0.838,613,605,613,605,,,,,,0,0,0.0,,,0,0,0.0,plastic bag:0.84,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.838,""qr"":"""",""valid"":false,""x_mm"":"""",""y_mm"":"""",""z_mm"":"""",""status"":""stabilizing 1/2""}]"
9,2026-08-10T15:48:00.589,perf,runtime,,,,,,,,,,,,13.09,13.09,1.64,1.64,13.09,9.3,4.3,1,56.5,valid,9,1,True,122400,128594,0.775,614,604,599,606,-45.3,192.6,918.0,918.0,,0,0,0.0,,,0,0,0.0,plastic bag:0.77,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.775,""qr"":"""",""valid"":true,""x_mm"":-45.3,""y_mm"":192.6,""z_mm"":918.0,""status"":""valid""}]"
16,2026-08-10T15:48:01.133,perf,runtime,,,,,,,,,,,,12.87,12.87,0.0,0.0,12.87,7.5,5.6,1,600.2,valid,16,1,True,128716,134922,0.787,618,606,612,606,-33.5,193.6,923.0,923.0,,0,0,0.0,,,0,0,0.0,plastic bag:0.79,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.787,""qr"":"""",""valid"":true,""x_mm"":-33.5,""y_mm"":193.6,""z_mm"":923.0,""status"":""valid""}]"
24,2026-08-10T15:48:01.677,perf,runtime,,,,,,,,,,,,14.71,14.71,1.84,1.84,14.71,6.9,8.5,1,266.5,valid,24,2,True,109536,115218,0.743,491,612,574,608,-50.2,193.1,916.0,916.0,,0,0,0.0,,,0,0,0.0,plastic bag:0.74,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.743,""qr"":"""",""valid"":true,""x_mm"":-50.2,""y_mm"":193.1,""z_mm"":916.0,""status"":""valid""}]"
31,2026-08-10T15:48:02.190,perf,runtime,,,,,,,,,,,,13.64,13.64,1.95,1.95,13.64,5.4,5.4,1,284.0,valid,31,2,True,126294,131984,0.798,616,606,608,606,-53.2,193.8,914.5,914.5,,0,0,0.0,,,0,0,0.0,plastic bag:0.80,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.798,""qr"":"""",""valid"":true,""x_mm"":-53.2,""y_mm"":193.8,""z_mm"":914.5,""status"":""valid""}]"
38,2026-08-10T15:48:02.730,perf,runtime,,,,,,,,,,,,12.95,12.95,1.85,1.85,12.95,5.3,4.6,1,319.8,valid,38,2,True,130277,136344,0.849,616,606,614,606,-42.3,193.4,917.5,917.5,,0,0,0.0,,,0,0,0.0,plastic bag:0.85,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.849,""qr"":"""",""valid"":true,""x_mm"":-42.3,""y_mm"":193.4,""z_mm"":917.5,""status"":""valid""}]"
45,2026-08-10T15:48:03.375,perf,runtime,,,,,,,,,,,,10.86,10.86,3.1,1.55,10.86,5.3,6.4,2,408.6,valid,45,2,True,130560,137028,0.85,616,605,614,606,-31.9,193.3,921.5,921.5,,0,0,0.0,,,0,0,0.0,plastic bag:0.85;plastic bag:0.32,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.85,""qr"":"""",""valid"":true,""x_mm"":-31.9,""y_mm"":193.3,""z_mm"":921.5,""status"":""valid""},{""idx"":2,""label"":""plastic bag"",""conf"":0.317,""qr"":"""",""valid"":true,""x_mm"":-6.3,""y_mm"":-1726.1,""z_mm"":4581.0,""status"":""secondary valid""}]"
50,2026-08-10T15:48:04.135,perf,runtime,,,,,,,,,,,,6.58,6.58,1.32,2.63,6.58,5.2,6.1,1,34.4,valid,50,2,True,126098,131887,0.845,615,606,605,606,-47.0,193.1,913.5,913.5,,0,0,0.0,,,0,0,0.0,plastic bag:0.85,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.845,""qr"":"""",""valid"":true,""x_mm"":-47.0,""y_mm"":193.1,""z_mm"":913.5,""status"":""valid""}]"
53,2026-08-10T15:48:04.726,perf,runtime,,,,,,,,,,,,5.07,5.07,0.0,0.0,5.07,5.3,5.1,1,625.6,valid,53,2,True,128368,134157,0.845,615,606,610,606,-47.0,193.1,913.5,913.5,,0,0,0.0,,,0,0,0.0,plastic bag:0.84,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.845,""qr"":"""",""valid"":true,""x_mm"":-47.0,""y_mm"":193.1,""z_mm"":913.5,""status"":""valid""}]"
57,2026-08-10T15:48:05.229,perf,runtime,,,,,,,,,,,,7.96,7.96,1.99,1.99,7.96,5.4,5.9,1,276.1,valid,57,2,True,115534,121535,0.75,491,613,588,607,-36.3,193.6,918.0,918.0,,0,0,0.0,,,0,0,0.0,plastic bag:0.75,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.75,""qr"":"""",""valid"":true,""x_mm"":-36.3,""y_mm"":193.6,""z_mm"":918.0,""status"":""valid""}]"
