frame,timestamp,type,label,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2,center_u,center_v,depth_mm,x_mm,y_mm,z_mm,display_fps,rgb_rx_fps,depth_msg_rx_fps,depth_rx_fps,detect_fps,infer_ms,last_infer_ms,det_count,depth_age_ms,grasp_status,stable_frames,grasp_sample_count,raw_depth_valid,roi_valid_count,roi_total_count,primary_conf,raw_center_u,raw_center_v,smooth_center_u,smooth_center_v,grasp_x_mm,grasp_y_mm,grasp_z_mm,grasp_depth_mm,qr_texts,qr_live_count,qr_memory_count,qr_decode_ms,qr_source,qr_scan_mode,qr_scan_rois,qr_busy,raw_rgb_age_ms,det_summary,object_results
1,2026-08-12T09:15:30.045,perf,runtime,,,,,,,,,,,,1.16,5.81,4.64,1.16,1.16,84.1,84.1,1,161.4,stabilizing 1/2,1,0,,,,0.853,723,591,723,591,,,,,,0,0,0.0,,,0,0,0.0,plastic bag:0.85,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.853,""qr"":"""",""valid"":false,""x_mm"":"""",""y_mm"":"""",""z_mm"":"""",""status"":""stabilizing 1/2""}]"
15,2026-08-12T09:15:30.603,perf,runtime,,,,,,,,,,,,16.14,21.51,23.31,5.38,16.14,18.4,33.7,1,93.9,valid,10,2,True,65416,65932,0.855,726,589,725,590,84.8,188.1,961.5,961.5,,0,0,0.0,,,0,0,0.0,plastic bag:0.85,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.855,""qr"":"""",""valid"":true,""x_mm"":84.8,""y_mm"":188.1,""z_mm"":961.5,""status"":""valid""}]"
35,2026-08-12T09:15:31.126,perf,runtime,,,,,,,,,,,,17.22,38.26,17.22,3.83,17.22,15.5,37.1,1,177.1,valid,19,2,True,64436,64890,0.855,727,590,726,590,84.8,188.1,961.5,961.5,,0,0,0.0,,,0,0,0.0,plastic bag:0.85,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.855,""qr"":"""",""valid"":true,""x_mm"":84.8,""y_mm"":188.1,""z_mm"":961.5,""status"":""valid""}]"
46,2026-08-12T09:15:31.636,perf,runtime,,,,,,,,,,,,17.64,21.56,21.56,5.88,17.64,14.5,32.8,1,84.9,valid,28,2,True,64916,65410,0.859,726,591,726,590,84.7,187.9,960.5,960.5,,0,0,0.0,,,0,0,0.0,plastic bag:0.86,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.859,""qr"":"""",""valid"":true,""x_mm"":84.7,""y_mm"":187.9,""z_mm"":960.5,""status"":""valid""}]"
67,2026-08-12T09:15:32.204,perf,runtime,,,,,,,,,,,,17.62,37.0,17.62,5.29,17.62,12.8,18.5,1,35.3,valid,38,2,True,64224,64680,0.858,727,590,726,591,84.7,188.5,961.0,961.0,,0,0,0.0,,,0,0,0.0,plastic bag:0.86,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.858,""qr"":"""",""valid"":true,""x_mm"":84.7,""y_mm"":188.5,""z_mm"":961.0,""status"":""valid""}]"
79,2026-08-12T09:15:32.749,perf,runtime,,,,,,,,,,,,16.52,22.03,22.03,3.67,16.52,13.4,20.4,1,171.1,valid,47,2,True,65264,65508,0.855,726,589,725,590,84.8,188.2,962.0,962.0,,0,0,0.0,,,0,0,0.0,plastic bag:0.86,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.855,""qr"":"""",""valid"":true,""x_mm"":84.8,""y_mm"":188.2,""z_mm"":962.0,""status"":""valid""}]"
99,2026-08-12T09:15:33.264,perf,runtime,,,,,,,,,,,,17.47,36.88,15.53,5.82,17.47,13.8,4.7,1,45.6,valid,56,2,True,64834,65410,0.847,725,591,726,590,84.7,188.0,961.0,961.0,,0,0,0.0,,,0,0,0.0,plastic bag:0.85,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.847,""qr"":"""",""valid"":true,""x_mm"":84.7,""y_mm"":188.0,""z_mm"":961.0,""status"":""valid""}]"
110,2026-08-12T09:15:33.769,perf,runtime,,,,,,,,,,,,19.8,21.78,21.78,3.96,19.8,12.9,4.3,1,154.2,valid,66,2,True,65452,65720,0.86,723,590,725,590,84.8,188.7,962.0,962.0,,0,0,0.0,,,0,0,0.0,plastic bag:0.86,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.86,""qr"":"""",""valid"":true,""x_mm"":84.8,""y_mm"":188.7,""z_mm"":962.0,""status"":""valid""}]"
129,2026-08-12T09:15:34.272,perf,runtime,,,,,,,,,,,,19.88,37.77,15.9,5.96,19.88,11.5,4.4,1,41.0,valid,76,2,True,64681,65199,0.856,726,591,725,590,84.0,187.8,960.0,960.0,,0,0,0.0,,,0,0,0.0,plastic bag:0.86,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.856,""qr"":"""",""valid"":true,""x_mm"":84.0,""y_mm"":187.8,""z_mm"":960.0,""status"":""valid""}]"
140,2026-08-12T09:15:34.812,perf,runtime,,,,,,,,,,,,18.52,27.78,20.37,3.7,18.52,11.6,19.7,1,156.6,valid,86,2,True,64588,64988,0.857,727,591,726,590,84.1,188.4,960.5,960.5,,0,0,0.0,,,0,0,0.0,plastic bag:0.86,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.857,""qr"":"""",""valid"":true,""x_mm"":84.1,""y_mm"":188.4,""z_mm"":960.5,""status"":""valid""}]"
160,2026-08-12T09:15:35.312,perf,runtime,,,,,,,,,,,,19.99,31.99,17.99,6.0,19.99,12.2,21.0,1,31.4,valid,96,2,True,64008,64470,0.856,727,590,726,590,84.7,188.0,961.0,961.0,,0,0,0.0,,,0,0,0.0,plastic bag:0.86,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.856,""qr"":"""",""valid"":true,""x_mm"":84.7,""y_mm"":188.0,""z_mm"":961.0,""status"":""valid""}]"
171,2026-08-12T09:15:35.859,perf,runtime,,,,,,,,,,,,16.44,27.41,21.93,3.65,16.44,14.8,4.6,1,178.3,valid,105,2,True,64694,64890,0.858,726,590,726,590,84.7,188.0,961.0,961.0,,0,0,0.0,,,0,0,0.0,plastic bag:0.86,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.858,""qr"":"""",""valid"":true,""x_mm"":84.7,""y_mm"":188.0,""z_mm"":961.0,""status"":""valid""}]"
192,2026-08-12T09:15:36.407,perf,runtime,,,,,,,,,,,,18.27,32.89,18.27,5.48,18.27,12.4,4.3,1,107.6,valid,115,2,True,64336,64680,0.854,726,590,726,590,84.8,188.1,961.5,961.5,,0,0,0.0,,,0,0,0.0,plastic bag:0.85,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.854,""qr"":"""",""valid"":true,""x_mm"":84.8,""y_mm"":188.1,""z_mm"":961.5,""status"":""valid""}]"
204,2026-08-12T09:15:36.946,perf,runtime,,,,,,,,,,,,18.55,31.53,20.4,5.56,18.55,11.2,11.2,1,13.2,valid,125,2,True,63950,64470,0.851,727,589,726,590,84.7,188.0,961.0,961.0,,0,0,0.0,,,0,0,0.0,plastic bag:0.85,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.851,""qr"":"""",""valid"":true,""x_mm"":84.7,""y_mm"":188.0,""z_mm"":961.0,""status"":""valid""}]"
224,2026-08-12T09:15:37.474,perf,runtime,,,,,,,,,,,,20.81,28.38,18.92,3.78,20.81,8.7,18.7,1,119.2,valid,136,2,True,64484,64988,0.858,726,590,726,590,84.7,188.0,961.0,961.0,,0,0,0.0,,,0,0,0.0,plastic bag:0.86,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.858,""qr"":"""",""valid"":true,""x_mm"":84.7,""y_mm"":188.0,""z_mm"":961.0,""status"":""valid""}]"
237,2026-08-12T09:15:38.024,perf,runtime,,,,,,,,,,,,18.18,32.73,20.0,5.45,18.18,11.5,11.0,1,46.1,valid,146,2,True,64050,64470,0.852,727,589,726,590,84.7,187.9,960.5,960.5,,0,0,0.0,,,0,0,0.0,plastic bag:0.85,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.852,""qr"":"""",""valid"":true,""x_mm"":84.7,""y_mm"":187.9,""z_mm"":960.5,""status"":""valid""}]"
257,2026-08-12T09:15:38.582,perf,runtime,,,,,,,,,,,,19.71,25.08,17.91,3.58,19.71,10.8,5.8,1,171.4,valid,157,2,True,64072,64470,0.849,727,590,726,590,84.7,188.0,961.0,961.0,,0,0,0.0,,,0,0,0.0,plastic bag:0.85,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.849,""qr"":"""",""valid"":true,""x_mm"":84.7,""y_mm"":188.0,""z_mm"":961.0,""status"":""valid""}]"
276,2026-08-12T09:15:39.093,perf,runtime,,,,,,,,,,,,17.63,41.13,17.63,5.88,17.63,11.1,5.7,1,74.6,valid,166,2,True,65098,65410,0.854,726,590,726,590,84.7,188.0,961.0,961.0,,0,0,0.0,,,0,0,0.0,plastic bag:0.85,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.854,""qr"":"""",""valid"":true,""x_mm"":84.7,""y_mm"":188.0,""z_mm"":961.0,""status"":""valid""}]"
288,2026-08-12T09:15:39.642,perf,runtime,,,,,,,,,,,,18.21,20.04,20.04,5.46,18.21,7.3,6.5,1,0.0,valid,176,2,True,65262,65720,0.861,726,589,726,590,84.7,188.0,961.0,961.0,,0,0,0.0,,,0,0,0.0,plastic bag:0.86,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.861,""qr"":"""",""valid"":true,""x_mm"":84.7,""y_mm"":188.0,""z_mm"":961.0,""status"":""valid""}]"
309,2026-08-12T09:15:40.191,perf,runtime,,,,,,,,,,,,18.21,36.43,16.39,3.64,18.21,9.5,4.9,1,143.1,valid,186,2,True,64441,64777,0.853,725,590,726,589,84.7,186.9,961.0,961.0,,0,0,0.0,,,0,0,0.0,plastic bag:0.85,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.853,""qr"":"""",""valid"":true,""x_mm"":84.7,""y_mm"":186.9,""z_mm"":961.0,""status"":""valid""}]"
321,2026-08-12T09:15:40.725,perf,runtime,,,,,,,,,,,,18.73,22.47,22.47,5.62,18.73,9.2,32.2,1,44.9,valid,196,2,True,64883,65199,0.842,727,590,726,590,84.7,187.9,960.5,960.5,,0,0,0.0,,,0,0,0.0,plastic bag:0.84,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.842,""qr"":"""",""valid"":true,""x_mm"":84.7,""y_mm"":187.9,""z_mm"":960.5,""status"":""valid""}]"
