frame,timestamp,type,label,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2,center_u,center_v,depth_mm,x_mm,y_mm,z_mm,display_fps,rgb_rx_fps,depth_msg_rx_fps,depth_rx_fps,detect_fps,infer_ms,last_infer_ms,det_count,depth_age_ms,grasp_status,stable_frames,grasp_sample_count,raw_depth_valid,roi_valid_count,roi_total_count,primary_conf,raw_center_u,raw_center_v,smooth_center_u,smooth_center_v,grasp_x_mm,grasp_y_mm,grasp_z_mm,grasp_depth_mm,qr_texts,qr_live_count,qr_memory_count,qr_decode_ms,qr_source,qr_scan_mode,qr_scan_rois,qr_busy,raw_rgb_age_ms,det_summary,object_results
2,2026-08-10T14:24:01.596,perf,runtime,,,,,,,,,,,,1.0,2.01,0.0,0.0,1.0,46.9,46.9,3,0.0,stabilizing 1/2,1,0,,,,0.896,660,555,660,555,,,,,,0,0,0.0,,,0,0,0.0,plastic bag:0.90;plastic bag:0.43;plastic bag:0.43,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.896,""qr"":"""",""valid"":false,""x_mm"":"""",""y_mm"":"""",""z_mm"":"""",""status"":""stabilizing 1/2""},{""idx"":2,""label"":""plastic bag"",""conf"":0.435,""qr"":"""",""valid"":false,""x_mm"":"""",""y_mm"":"""",""z_mm"":"""",""status"":""no depth""},{""idx"":3,""label"":""plastic bag"",""conf"":0.426,""qr"":"""",""valid"":false,""x_mm"":"""",""y_mm"":"""",""z_mm"":"""",""status"":""no depth""}]"
7,2026-08-10T14:24:02.296,perf,runtime,,,,,,,,,,,,7.14,7.14,0.0,0.0,7.14,15.6,10.9,2,0.0,no depth,6,0,,,,0.897,660,555,660,555,,,,,,0,0,0.0,,,0,0,0.0,plastic bag:0.90;plastic bag:0.31,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.897,""qr"":"""",""valid"":false,""x_mm"":"""",""y_mm"":"""",""z_mm"":"""",""status"":""no depth""},{""idx"":2,""label"":""plastic bag"",""conf"":0.31,""qr"":"""",""valid"":false,""x_mm"":"""",""y_mm"":"""",""z_mm"":"""",""status"":""no depth""}]"
9,2026-08-10T14:24:02.816,perf,runtime,,,,,,,,,,,,3.84,3.84,3.84,1.92,3.84,15.2,18.1,1,468.4,valid,8,1,True,63504,64170,0.899,661,556,660,555,16.4,161.4,1018.0,1018.0,,0,0,0.0,,,0,0,0.0,plastic bag:0.90,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.899,""qr"":"""",""valid"":true,""x_mm"":16.4,""y_mm"":161.4,""z_mm"":1018.0,""status"":""valid""}]"
18,2026-08-10T14:24:03.385,perf,runtime,,,,,,,,,,,,15.83,15.83,1.76,3.52,15.83,11.6,10.7,2,173.4,valid,17,2,True,63736,64170,0.896,660,555,660,555,16.3,160.9,1015.0,1015.0,,0,0,0.0,,,0,0,0.0,plastic bag:0.90;plastic bag:0.40,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.896,""qr"":"""",""valid"":true,""x_mm"":16.3,""y_mm"":160.9,""z_mm"":1015.0,""status"":""valid""},{""idx"":2,""label"":""plastic bag"",""conf"":0.399,""qr"":"""",""valid"":true,""x_mm"":-678.8,""y_mm"":145.0,""z_mm"":1052.0,""status"":""secondary valid""}]"
26,2026-08-10T14:24:03.902,perf,runtime,,,,,,,,,,,,15.46,15.46,1.93,1.93,15.46,11.1,9.1,3,274.2,valid,25,2,True,63571,63963,0.896,660,555,660,555,16.4,161.1,1016.5,1016.5,,0,0,0.0,,,0,0,0.0,plastic bag:0.90;plastic bag:0.38;plastic bag:0.32,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.896,""qr"":"""",""valid"":true,""x_mm"":16.4,""y_mm"":161.1,""z_mm"":1016.5,""status"":""valid""},{""idx"":2,""label"":""plastic bag"",""conf"":0.382,""qr"":"""",""valid"":true,""x_mm"":547.9,""y_mm"":105.6,""z_mm"":946.0,""status"":""secondary valid""},{""idx"":3,""label"":""plastic bag"",""conf"":0.315,""qr"":"""",""valid"":true,""x_mm"":-679.4,""y_mm"":147.4,""z_mm"":1053.0,""status"":""secondary valid""}]"
35,2026-08-10T14:24:04.443,perf,runtime,,,,,,,,,,,,16.64,16.64,3.7,3.7,16.64,9.6,10.6,1,103.7,valid,34,2,True,64230,64790,0.902,661,554,661,554,16.9,160.2,1017.5,1017.5,,0,0,0.0,,,0,0,0.0,plastic bag:0.90,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.902,""qr"":"""",""valid"":true,""x_mm"":16.9,""y_mm"":160.2,""z_mm"":1017.5,""status"":""valid""}]"
44,2026-08-10T14:24:04.954,perf,runtime,,,,,,,,,,,,17.63,17.63,1.96,1.96,17.63,9.5,7.9,3,240.6,valid,43,2,True,63824,64272,0.898,660,556,660,555,17.5,160.2,1018.0,1018.0,,0,0,0.0,,,0,0,0.0,plastic bag:0.90;plastic bag:0.38;plastic bag:0.32,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.898,""qr"":"""",""valid"":true,""x_mm"":17.5,""y_mm"":160.2,""z_mm"":1018.0,""status"":""valid""},{""idx"":2,""label"":""plastic bag"",""conf"":0.379,""qr"":"""",""valid"":true,""x_mm"":-681.9,""y_mm"":146.5,""z_mm"":1055.0,""status"":""secondary valid""},{""idx"":3,""label"":""plastic bag"",""conf"":0.323,""qr"":"""",""valid"":true,""x_mm"":544.7,""y_mm"":184.6,""z_mm"":944.0,""status"":""secondary valid""}]"
52,2026-08-10T14:24:05.481,perf,runtime,,,,,,,,,,,,15.18,15.18,1.9,1.9,15.18,9.5,6.3,3,382.0,valid,51,2,True,63519,63963,0.9,660,555,660,555,16.9,159.8,1012.0,1012.0,,0,0,0.0,,,0,0,0.0,plastic bag:0.90;plastic bag:0.41;plastic bag:0.32,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.9,""qr"":"""",""valid"":true,""x_mm"":16.9,""y_mm"":159.8,""z_mm"":1012.0,""status"":""valid""},{""idx"":2,""label"":""plastic bag"",""conf"":0.411,""qr"":"""",""valid"":true,""x_mm"":544.4,""y_mm"":161.5,""z_mm"":947.0,""status"":""secondary valid""},{""idx"":3,""label"":""plastic bag"",""conf"":0.316,""qr"":"""",""valid"":true,""x_mm"":-681.4,""y_mm"":144.4,""z_mm"":1056.0,""status"":""secondary valid""}]"
60,2026-08-10T14:24:06.010,perf,runtime,,,,,,,,,,,,15.1,15.1,3.78,3.78,15.1,9.5,9.1,2,122.1,valid,59,2,True,63551,63963,0.893,660,556,660,555,16.2,160.3,1011.5,1011.5,,0,0,0.0,,,0,0,0.0,plastic bag:0.89;plastic bag:0.39,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.893,""qr"":"""",""valid"":true,""x_mm"":16.2,""y_mm"":160.3,""z_mm"":1011.5,""status"":""valid""},{""idx"":2,""label"":""plastic bag"",""conf"":0.387,""qr"":"""",""valid"":true,""x_mm"":577.2,""y_mm"":196.8,""z_mm"":1006.0,""status"":""secondary valid""}]"
68,2026-08-10T14:24:06.524,perf,runtime,,,,,,,,,,,,15.56,15.56,1.95,1.95,15.56,9.3,7.4,2,231.8,valid,67,2,True,63220,63654,0.895,661,556,660,556,16.2,160.9,1012.0,1012.0,,0,0,0.0,,,0,0,0.0,plastic bag:0.90;plastic bag:0.41,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.895,""qr"":"""",""valid"":true,""x_mm"":16.2,""y_mm"":160.9,""z_mm"":1012.0,""status"":""valid""},{""idx"":2,""label"":""plastic bag"",""conf"":0.408,""qr"":"""",""valid"":true,""x_mm"":598.4,""y_mm"":186.5,""z_mm"":1047.0,""status"":""secondary valid""}]"
73,2026-08-10T14:24:07.037,perf,runtime,,,,,,,,,,,,9.76,9.76,1.95,1.95,9.76,9.1,8.6,2,296.4,valid,72,2,True,63256,63654,0.899,660,556,660,556,16.3,162.0,1015.0,1015.0,,0,0,0.0,,,0,0,0.0,plastic bag:0.90;plastic bag:0.45,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.899,""qr"":"""",""valid"":true,""x_mm"":16.3,""y_mm"":162.0,""z_mm"":1015.0,""status"":""valid""},{""idx"":2,""label"":""plastic bag"",""conf"":0.446,""qr"":"""",""valid"":true,""x_mm"":576.1,""y_mm"":196.8,""z_mm"":1006.0,""status"":""secondary valid""}]"
