frame,timestamp,type,label,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2,center_u,center_v,depth_mm,x_mm,y_mm,z_mm,display_fps,rgb_rx_fps,depth_msg_rx_fps,depth_rx_fps,detect_fps,infer_ms,last_infer_ms,det_count,depth_age_ms,grasp_status,stable_frames,grasp_sample_count,raw_depth_valid,roi_valid_count,roi_total_count,primary_conf,raw_center_u,raw_center_v,smooth_center_u,smooth_center_v,grasp_x_mm,grasp_y_mm,grasp_z_mm,grasp_depth_mm,qr_texts,qr_live_count,qr_memory_count,qr_decode_ms,qr_source,qr_scan_mode,qr_scan_rois,qr_busy,raw_rgb_age_ms,det_summary,object_results
1,2026-08-13T13:55:41.860,perf,runtime,,,,,,,,,,,,0.93,2.78,0.0,0.0,0.93,37.8,37.8,1,0.0,stabilizing 1/2,1,0,,,,0.643,23,289,23,289,,,,,,0,0,0.0,,,0,0,0.0,plastic bag:0.64,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.643,""qr"":"""",""valid"":false,""x_mm"":"""",""y_mm"":"""",""z_mm"":"""",""status"":""stabilizing 1/2""}]"
11,2026-08-13T13:55:42.389,perf,runtime,,,,,,,,,,,,16.99,16.99,3.78,1.89,16.99,9.4,5.8,1,396.6,no depth,10,0,,,,0.53,23,287,23,288,,,,,,0,0,0.0,,,0,0,0.0,plastic bag:0.53,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.53,""qr"":"""",""valid"":false,""x_mm"":"""",""y_mm"":"""",""z_mm"":"""",""status"":""no depth""}]"
22,2026-08-13T13:55:42.920,perf,runtime,,,,,,,,,,,,20.74,18.85,0.0,1.89,20.74,7.6,5.9,1,509.1,valid,21,1,True,5235,5311,0.638,23,291,23,289,-957.3,-161.0,1412.0,1412.0,,0,0,0.0,,,0,0,0.0,plastic bag:0.64,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.638,""qr"":"""",""valid"":true,""x_mm"":-957.3,""y_mm"":-161.0,""z_mm"":1412.0,""status"":""valid""}]"
33,2026-08-13T13:55:43.464,perf,runtime,,,,,,,,,,,,20.22,22.05,1.84,1.84,20.22,6.0,5.3,1,446.7,valid,32,2,True,5211,5311,0.545,23,288,23,289,-956.2,-162.4,1410.5,1410.5,,0,0,0.0,,,0,0,0.0,plastic bag:0.55,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.545,""qr"":"""",""valid"":true,""x_mm"":-956.2,""y_mm"":-162.4,""z_mm"":1410.5,""status"":""valid""}]"
45,2026-08-13T13:55:43.969,perf,runtime,,,,,,,,,,,,21.79,21.79,1.98,1.98,21.79,5.9,4.8,1,326.8,valid,43,2,True,5153,5311,0.549,23,289,23,288,-953.2,-161.1,1406.0,1406.0,,0,0,0.0,,,0,0,0.0,plastic bag:0.55,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.549,""qr"":"""",""valid"":true,""x_mm"":-953.2,""y_mm"":-161.1,""z_mm"":1406.0,""status"":""valid""}]"
55,2026-08-13T13:55:44.507,perf,runtime,,,,,,,,,,,,18.56,18.56,0.0,0.0,18.56,5.9,5.4,1,865.6,valid,53,2,True,5198,5358,0.582,23,290,23,288,-953.2,-161.1,1406.0,1406.0,,0,0,0.0,,,0,0,0.0,plastic bag:0.58,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.582,""qr"":"""",""valid"":true,""x_mm"":-953.2,""y_mm"":-161.1,""z_mm"":1406.0,""status"":""valid""}]"
68,2026-08-13T13:55:45.223,perf,runtime,,,,,,,,,,,,15.37,22.36,1.4,1.4,15.37,5.9,5.7,1,601.8,valid,64,2,True,5039,5405,0.649,23,286,23,287,-956.2,-163.9,1410.5,1410.5,,0,0,0.0,,,0,0,0.0,plastic bag:0.65,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.649,""qr"":"""",""valid"":true,""x_mm"":-956.2,""y_mm"":-163.9,""z_mm"":1410.5,""status"":""valid""}]"
84,2026-08-13T13:55:45.875,perf,runtime,,,,,,,,,,,,19.93,23.0,1.53,1.53,19.93,6.0,6.1,1,264.4,valid,77,2,True,5320,5405,0.606,23,286,23,287,-954.2,-164.3,1407.5,1407.5,,0,0,0.0,,,0,0,0.0,plastic bag:0.61,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.606,""qr"":"""",""valid"":true,""x_mm"":-954.2,""y_mm"":-164.3,""z_mm"":1407.5,""status"":""valid""}]"
97,2026-08-13T13:55:46.382,perf,runtime,,,,,,,,,,,,21.73,23.7,0.0,0.0,21.73,6.0,7.3,1,770.6,valid,88,2,True,5273,5358,0.62,23,289,23,289,-954.2,-164.3,1407.5,1407.5,,0,0,0.0,,,0,0,0.0,plastic bag:0.62,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.62,""qr"":"""",""valid"":true,""x_mm"":-954.2,""y_mm"":-164.3,""z_mm"":1407.5,""status"":""valid""}]"
107,2026-08-13T13:55:46.936,perf,runtime,,,,,,,,,,,,18.04,16.24,1.8,1.8,18.04,6.2,6.1,1,419.7,valid,98,2,True,5191,5358,0.598,23,289,23,289,-955.6,-163.1,1409.5,1409.5,,0,0,0.0,,,0,0,0.0,plastic bag:0.60,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.598,""qr"":"""",""valid"":true,""x_mm"":-955.6,""y_mm"":-163.1,""z_mm"":1409.5,""status"":""valid""}]"
118,2026-08-13T13:55:47.504,perf,runtime,,,,,,,,,,,,19.37,19.37,1.76,1.76,19.37,6.1,5.7,1,136.6,valid,109,2,True,5387,5452,0.587,23,286,23,288,-958.6,-163.6,1414.0,1414.0,,0,0,0.0,,,0,0,0.0,plastic bag:0.59,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.587,""qr"":"""",""valid"":true,""x_mm"":-958.6,""y_mm"":-163.6,""z_mm"":1414.0,""status"":""valid""}]"
129,2026-08-13T13:55:48.016,perf,runtime,,,,,,,,,,,,21.47,21.47,0.0,0.0,21.47,6.1,6.9,1,648.9,valid,120,2,True,5246,5311,0.581,23,288,23,288,-958.6,-163.6,1414.0,1414.0,,0,0,0.0,,,0,0,0.0,plastic bag:0.58,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.581,""qr"":"""",""valid"":true,""x_mm"":-958.6,""y_mm"":-163.6,""z_mm"":1414.0,""status"":""valid""}]"
139,2026-08-13T13:55:48.544,perf,runtime,,,,,,,,,,,,18.92,18.92,1.89,1.89,18.92,5.9,7.7,1,465.8,valid,130,2,True,5285,5405,0.557,24,288,23,288,-952.9,-162.6,1405.5,1405.5,,0,0,0.0,,,0,0,0.0,plastic bag:0.56,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.557,""qr"":"""",""valid"":true,""x_mm"":-952.9,""y_mm"":-162.6,""z_mm"":1405.5,""status"":""valid""}]"
149,2026-08-13T13:55:49.092,perf,runtime,,,,,,,,,,,,18.25,18.25,1.82,1.82,18.25,6.0,6.4,1,235.9,valid,140,2,True,5122,5358,0.573,23,288,23,289,-947.8,-160.9,1398.0,1398.0,,0,0,0.0,,,0,0,0.0,plastic bag:0.57,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.573,""qr"":"""",""valid"":true,""x_mm"":-947.8,""y_mm"":-160.9,""z_mm"":1398.0,""status"":""valid""}]"
159,2026-08-13T13:55:49.614,perf,runtime,,,,,,,,,,,,19.16,19.16,1.92,1.92,19.16,5.8,4.8,1,98.8,valid,150,2,True,5219,5358,0.615,23,288,23,289,-946.1,-160.7,1395.5,1395.5,,0,0,0.0,,,0,0,0.0,plastic bag:0.62,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.615,""qr"":"""",""valid"":true,""x_mm"":-946.1,""y_mm"":-160.7,""z_mm"":1395.5,""status"":""valid""}]"
