frame,timestamp,type,label,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2,center_u,center_v,depth_mm,x_mm,y_mm,z_mm,display_fps,rgb_rx_fps,depth_msg_rx_fps,depth_rx_fps,detect_fps,infer_ms,last_infer_ms,det_count,depth_age_ms,grasp_status,stable_frames,grasp_sample_count,raw_depth_valid,roi_valid_count,roi_total_count,primary_conf,raw_center_u,raw_center_v,smooth_center_u,smooth_center_v,grasp_x_mm,grasp_y_mm,grasp_z_mm,grasp_depth_mm,qr_texts,qr_live_count,qr_memory_count,qr_decode_ms,qr_source,qr_scan_mode,qr_scan_rois,qr_busy,raw_rgb_age_ms,det_summary,object_results
1,2026-08-18T14:05:09.137,perf,runtime,,,,,,,,,,,,0.87,3.49,0.87,0.87,0.87,38.0,38.0,1,69.0,stabilizing 1/2,1,0,,,,0.799,872,565,872,565,,,,,,0,0,0.0,,,0,0,0.0,plastic bag:0.80,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.799,""qr"":"""",""valid"":false,""x_mm"":"""",""y_mm"":"""",""z_mm"":"""",""status"":""stabilizing 1/2""}]"
11,2026-08-18T14:05:09.666,perf,runtime,,,,,,,,,,,,15.13,13.24,3.78,3.78,15.13,10.0,6.5,1,56.7,valid,9,2,True,103546,110768,0.738,874,567,872,566,198.1,122.5,800.5,800.5,,0,0,0.0,,,0,0,0.0,plastic bag:0.74,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.738,""qr"":"""",""valid"":true,""x_mm"":198.1,""y_mm"":122.5,""z_mm"":800.5,""status"":""valid""}]"
19,2026-08-18T14:05:10.244,perf,runtime,,,,,,,,,,,,13.85,13.85,3.46,3.46,13.85,7.8,6.6,1,134.4,valid,17,2,True,103521,110768,0.757,874,566,871,566,197.2,123.8,800.5,800.5,,0,0,0.0,,,0,0,0.0,plastic bag:0.76,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.757,""qr"":"""",""valid"":true,""x_mm"":197.2,""y_mm"":123.8,""z_mm"":800.5,""status"":""valid""}]"
27,2026-08-18T14:05:10.860,perf,runtime,,,,,,,,,,,,12.97,12.97,3.24,3.24,12.97,7.0,7.3,1,186.2,valid,25,2,True,101934,108900,0.766,874,565,873,567,198.7,123.7,799.5,799.5,,0,0,0.0,,,0,0,0.0,plastic bag:0.77,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.766,""qr"":"""",""valid"":true,""x_mm"":198.7,""y_mm"":123.7,""z_mm"":799.5,""status"":""valid""}]"
36,2026-08-18T14:05:11.428,perf,runtime,,,,,,,,,,,,15.85,15.85,5.28,5.28,15.85,5.4,4.3,1,62.1,valid,34,2,True,101611,108472,0.776,874,567,873,568,198.3,124.1,799.5,799.5,,0,0,0.0,,,0,0,0.0,plastic bag:0.78,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.776,""qr"":"""",""valid"":true,""x_mm"":198.3,""y_mm"":124.1,""z_mm"":799.5,""status"":""valid""}]"
44,2026-08-18T14:05:11.935,perf,runtime,,,,,,,,,,,,15.81,15.81,3.95,3.95,15.81,5.5,4.9,1,63.0,valid,42,2,True,99850,106722,0.689,874,568,873,570,198.9,125.7,798.5,798.5,,0,0,0.0,,,0,0,0.0,plastic bag:0.69,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.689,""qr"":"""",""valid"":true,""x_mm"":198.9,""y_mm"":125.7,""z_mm"":798.5,""status"":""valid""}]"
52,2026-08-18T14:05:12.451,perf,runtime,,,,,,,,,,,,13.56,15.5,3.87,3.87,13.56,5.6,6.2,1,15.5,valid,49,2,True,100072,107448,0.672,874,569,873,569,199.2,126.0,798.0,798.0,,0,0,0.0,,,0,0,0.0,plastic bag:0.67,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.672,""qr"":"""",""valid"":true,""x_mm"":199.2,""y_mm"":126.0,""z_mm"":798.0,""status"":""valid""}]"
60,2026-08-18T14:05:12.981,perf,runtime,,,,,,,,,,,,15.09,15.09,3.77,3.77,15.09,5.7,5.3,1,77.3,valid,57,2,True,99738,106359,0.698,878,574,874,570,197.9,125.6,798.0,798.0,,0,0,0.0,,,0,0,0.0,plastic bag:0.70,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.698,""qr"":"""",""valid"":true,""x_mm"":197.9,""y_mm"":125.6,""z_mm"":798.0,""status"":""valid""}]"
66,2026-08-18T14:05:13.584,perf,runtime,,,,,,,,,,,,9.94,9.94,1.66,1.66,9.94,5.9,5.0,1,423.2,valid,63,2,True,98964,105704,0.647,874,571,874,571,199.3,126.5,798.5,798.5,,0,0,0.0,,,0,0,0.0,plastic bag:0.65,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.647,""qr"":"""",""valid"":true,""x_mm"":199.3,""y_mm"":126.5,""z_mm"":798.5,""status"":""valid""}]"
72,2026-08-18T14:05:14.161,perf,runtime,,,,,,,,,,,,10.41,10.41,3.47,3.47,10.41,5.7,6.7,1,207.9,valid,69,2,True,97723,104690,0.802,876,574,875,572,199.4,127.7,797.0,797.0,,0,0,0.0,,,0,0,0.0,plastic bag:0.80,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.802,""qr"":"""",""valid"":true,""x_mm"":199.4,""y_mm"":127.7,""z_mm"":797.0,""status"":""valid""}]"
80,2026-08-18T14:05:14.718,perf,runtime,,,,,,,,,,,,14.35,14.35,3.59,3.59,14.35,6.0,6.6,1,205.2,valid,77,2,True,99084,106134,0.687,874,569,874,570,199.6,127.0,798.0,798.0,,0,0,0.0,,,0,0,0.0,plastic bag:0.69,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.687,""qr"":"""",""valid"":true,""x_mm"":199.6,""y_mm"":127.0,""z_mm"":798.0,""status"":""valid""}]"
87,2026-08-18T14:05:15.239,perf,runtime,,,,,,,,,,,,13.43,13.43,3.84,3.84,13.43,6.0,5.7,1,58.0,valid,84,2,True,98106,105412,0.721,876,571,875,571,199.6,127.4,798.0,798.0,,0,0,0.0,,,0,0,0.0,plastic bag:0.72,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.721,""qr"":"""",""valid"":true,""x_mm"":199.6,""y_mm"":127.4,""z_mm"":798.0,""status"":""valid""}]"
94,2026-08-18T14:05:15.768,perf,runtime,,,,,,,,,,,,13.25,13.25,3.78,3.78,13.25,6.0,6.7,1,103.0,valid,91,2,True,99220,105704,0.734,873,569,874,571,199.8,127.8,798.5,798.5,,0,0,0.0,,,0,0,0.0,plastic bag:0.73,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.734,""qr"":"""",""valid"":true,""x_mm"":199.8,""y_mm"":127.8,""z_mm"":798.5,""status"":""valid""}]"
103,2026-08-18T14:05:16.383,perf,runtime,,,,,,,,,,,,14.62,16.24,3.25,3.25,14.62,6.1,9.3,1,190.4,valid,100,2,True,101578,107898,0.685,873,571,871,570,196.9,126.8,799.5,799.5,,0,0,0.0,,,0,0,0.0,plastic bag:0.69,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.685,""qr"":"""",""valid"":true,""x_mm"":196.9,""y_mm"":126.8,""z_mm"":799.5,""status"":""valid""}]"
111,2026-08-18T14:05:16.901,perf,runtime,,,,,,,,,,,,15.45,13.52,3.86,3.86,15.45,5.7,4.7,1,123.3,valid,108,2,True,100641,107380,0.745,876,572,873,569,199.4,126.2,799.0,799.0,,0,0,0.0,,,0,0,0.0,plastic bag:0.74,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.745,""qr"":"""",""valid"":true,""x_mm"":199.4,""y_mm"":126.2,""z_mm"":799.0,""status"":""valid""}]"
