frame,timestamp,type,label,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2,center_u,center_v,depth_mm,x_mm,y_mm,z_mm,display_fps,rgb_rx_fps,depth_msg_rx_fps,depth_rx_fps,detect_fps,infer_ms,last_infer_ms,det_count,depth_age_ms,grasp_status,stable_frames,grasp_sample_count,raw_depth_valid,roi_valid_count,roi_total_count,primary_conf,raw_center_u,raw_center_v,smooth_center_u,smooth_center_v,grasp_x_mm,grasp_y_mm,grasp_z_mm,grasp_depth_mm,qr_texts,qr_live_count,qr_memory_count,qr_decode_ms,qr_source,qr_scan_mode,qr_scan_rois,qr_busy,raw_rgb_age_ms,det_summary,object_results
1,2026-08-10T15:12:48.314,perf,runtime,,,,,,,,,,,,0.13,0.13,0.51,0.51,0.13,40.7,40.7,2,18.6,stabilizing 1/2,1,0,,,,0.706,725,634,725,634,,,,,,0,0,0.0,,,0,0,0.0,plastic bag:0.71;plastic bag:0.36,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.706,""qr"":"""",""valid"":false,""x_mm"":"""",""y_mm"":"""",""z_mm"":"""",""status"":""stabilizing 1/2""},{""idx"":2,""label"":""plastic bag"",""conf"":0.362,""qr"":"""",""valid"":true,""x_mm"":2541.7,""y_mm"":-1019.6,""z_mm"":3903.0,""status"":""secondary valid""}]"
4,2026-08-10T15:12:48.998,perf,runtime,,,,,,,,,,,,4.38,4.38,1.46,1.46,4.38,14.7,5.4,1,324.2,valid,4,2,True,35993,36411,0.848,727,634,726,634,82.3,236.6,934.0,934.0,,0,0,0.0,,,0,0,0.0,plastic bag:0.85,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.848,""qr"":"""",""valid"":true,""x_mm"":82.3,""y_mm"":236.6,""z_mm"":934.0,""status"":""valid""}]"
7,2026-08-10T15:12:49.522,perf,runtime,,,,,,,,,,,,5.73,5.73,3.82,3.82,5.73,11.4,6.6,1,23.3,valid,7,2,True,35896,36252,0.844,726,634,726,634,82.2,236.3,933.0,933.0,,0,0,0.0,,,0,0,0.0,plastic bag:0.84,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.844,""qr"":"""",""valid"":true,""x_mm"":82.2,""y_mm"":236.3,""z_mm"":933.0,""status"":""valid""}]"
10,2026-08-10T15:12:50.100,perf,runtime,,,,,,,,,,,,5.19,5.19,1.73,1.73,5.19,9.4,5.2,1,86.9,valid,10,2,True,35814,36252,0.8,728,635,727,634,82.6,236.1,932.0,932.0,,0,0,0.0,,,0,0,0.0,plastic bag:0.80,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.8,""qr"":"""",""valid"":true,""x_mm"":82.6,""y_mm"":236.1,""z_mm"":932.0,""status"":""valid""}]"
14,2026-08-10T15:12:50.649,perf,runtime,,,,,,,,,,,,7.29,7.29,1.82,1.82,7.29,8.6,8.3,1,122.9,valid,14,2,True,35766,36182,0.801,727,634,726,634,82.7,236.2,932.5,932.5,,0,0,0.0,,,0,0,0.0,plastic bag:0.80,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.801,""qr"":"""",""valid"":true,""x_mm"":82.7,""y_mm"":236.2,""z_mm"":932.5,""status"":""valid""}]"
20,2026-08-10T15:12:51.206,perf,runtime,,,,,,,,,,,,10.77,10.77,0.0,0.0,10.77,8.1,6.4,1,679.8,valid,20,2,True,35380,35796,0.771,726,634,726,634,82.7,236.2,932.5,932.5,,0,0,0.0,,,0,0,0.0,plastic bag:0.77,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.771,""qr"":"""",""valid"":true,""x_mm"":82.7,""y_mm"":236.2,""z_mm"":932.5,""status"":""valid""}]"
25,2026-08-10T15:12:51.762,perf,runtime,,,,,,,,,,,,8.98,8.98,1.8,1.8,8.98,8.1,8.7,1,537.3,valid,25,2,True,35722,36182,0.836,727,634,726,634,82.7,236.2,932.5,932.5,,0,0,0.0,,,0,0,0.0,plastic bag:0.84,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.836,""qr"":"""",""valid"":true,""x_mm"":82.7,""y_mm"":236.2,""z_mm"":932.5,""status"":""valid""}]"
32,2026-08-10T15:12:52.271,perf,runtime,,,,,,,,,,,,13.77,13.77,1.97,1.97,13.77,6.8,8.2,1,296.0,valid,32,2,True,35504,35796,0.798,727,635,727,634,83.2,236.3,933.0,933.0,,0,0,0.0,,,0,0,0.0,plastic bag:0.80,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.798,""qr"":"""",""valid"":true,""x_mm"":83.2,""y_mm"":236.3,""z_mm"":933.0,""status"":""valid""}]"
