frame,timestamp,type,label,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2,center_u,center_v,depth_mm,x_mm,y_mm,z_mm,display_fps,rgb_rx_fps,depth_msg_rx_fps,depth_rx_fps,detect_fps,infer_ms,last_infer_ms,det_count,depth_age_ms,grasp_status,stable_frames,grasp_sample_count,raw_depth_valid,roi_valid_count,roi_total_count,primary_conf,raw_center_u,raw_center_v,smooth_center_u,smooth_center_v,grasp_x_mm,grasp_y_mm,grasp_z_mm,grasp_depth_mm,qr_texts,qr_live_count,qr_memory_count,qr_decode_ms,qr_source,qr_scan_mode,qr_scan_rois,qr_busy,raw_rgb_age_ms,det_summary,object_results
1,2026-08-10T16:49:00.428,perf,runtime,,,,,,,,,,,,0.84,1.69,0.0,0.0,0.84,34.3,34.3,3,0.0,stabilizing 1/2,1,0,,,,0.892,128,507,128,507,,,,,,0,0,0.0,,,0,0,0.0,plastic bag:0.89;plastic bag:0.83;plastic bag:0.81,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.892,""qr"":"""",""valid"":false,""x_mm"":"""",""y_mm"":"""",""z_mm"":"""",""status"":""stabilizing 1/2""},{""idx"":2,""label"":""plastic bag"",""conf"":0.832,""qr"":"""",""valid"":false,""x_mm"":"""",""y_mm"":"""",""z_mm"":"""",""status"":""no depth""},{""idx"":3,""label"":""plastic bag"",""conf"":0.812,""qr"":"""",""valid"":false,""x_mm"":"""",""y_mm"":"""",""z_mm"":"""",""status"":""no depth""}]"
9,2026-08-10T16:49:00.977,perf,runtime,,,,,,,,,,,,14.58,12.76,0.0,0.0,14.58,10.0,7.7,3,0.0,no depth,9,0,,,,0.894,128,506,128,506,,,,,,0,0,0.0,,,0,0,0.0,plastic bag:0.89;plastic bag:0.80;plastic bag:0.80,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.894,""qr"":"""",""valid"":false,""x_mm"":"""",""y_mm"":"""",""z_mm"":"""",""status"":""no depth""},{""idx"":2,""label"":""plastic bag"",""conf"":0.804,""qr"":"""",""valid"":false,""x_mm"":"""",""y_mm"":"""",""z_mm"":"""",""status"":""no depth""},{""idx"":3,""label"":""plastic bag"",""conf"":0.797,""qr"":"""",""valid"":false,""x_mm"":"""",""y_mm"":"""",""z_mm"":"""",""status"":""no depth""}]"
17,2026-08-10T16:49:01.504,perf,runtime,,,,,,,,,,,,15.18,15.18,1.9,1.9,15.18,8.0,5.7,3,448.5,valid,17,1,True,51074,52020,0.895,129,507,128,507,-589.9,111.0,1045.0,1045.0,,0,0,0.0,,,0,0,0.0,plastic bag:0.89;plastic bag:0.81;plastic bag:0.81,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.895,""qr"":"""",""valid"":true,""x_mm"":-589.9,""y_mm"":111.0,""z_mm"":1045.0,""status"":""valid""},{""idx"":2,""label"":""plastic bag"",""conf"":0.811,""qr"":"""",""valid"":true,""x_mm"":-82.8,""y_mm"":192.4,""z_mm"":957.0,""status"":""secondary valid""},{""idx"":3,""label"":""plastic bag"",""conf"":0.808,""qr"":"""",""valid"":true,""x_mm"":183.5,""y_mm"":219.2,""z_mm"":925.0,""status"":""secondary valid""}]"
22,2026-08-10T16:49:02.442,perf,runtime,,,,,,,,,,,,5.33,7.46,1.07,1.07,5.33,7.5,4.7,3,547.7,valid,22,2,True,51390,52224,0.893,129,506,129,507,-589.6,111.0,1045.5,1045.5,,0,0,0.0,,,0,0,0.0,plastic bag:0.89;plastic bag:0.82;plastic bag:0.81,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.893,""qr"":"""",""valid"":true,""x_mm"":-589.6,""y_mm"":111.0,""z_mm"":1045.5,""status"":""valid""},{""idx"":2,""label"":""plastic bag"",""conf"":0.818,""qr"":"""",""valid"":true,""x_mm"":-82.4,""y_mm"":189.5,""z_mm"":953.0,""status"":""secondary valid""},{""idx"":3,""label"":""plastic bag"",""conf"":0.808,""qr"":"""",""valid"":true,""x_mm"":184.3,""y_mm"":219.0,""z_mm"":924.0,""status"":""secondary valid""}]"
28,2026-08-10T16:49:03.150,perf,runtime,,,,,,,,,,,,7.07,5.66,0.0,0.0,7.07,7.3,5.2,3,1255.0,valid,27,2,,,,0.896,128,506,128,506,-589.6,111.0,1045.5,1045.5,,0,0,0.0,,,0,0,0.0,plastic bag:0.90;plastic bag:0.83;plastic bag:0.81,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.896,""qr"":"""",""valid"":true,""x_mm"":-589.6,""y_mm"":111.0,""z_mm"":1045.5,""status"":""valid""},{""idx"":2,""label"":""plastic bag"",""conf"":0.83,""qr"":"""",""valid"":false,""x_mm"":"""",""y_mm"":"""",""z_mm"":"""",""status"":""stale depth 1245ms""},{""idx"":3,""label"":""plastic bag"",""conf"":0.813,""qr"":"""",""valid"":false,""x_mm"":"""",""y_mm"":"""",""z_mm"":"""",""status"":""stale depth 1245ms""}]"
33,2026-08-10T16:49:03.695,perf,runtime,,,,,,,,,,,,9.18,9.18,1.84,1.84,9.18,6.3,6.2,3,517.3,valid,32,2,True,51071,51765,0.891,128,507,128,506,-590.1,110.5,1046.5,1046.5,,0,0,0.0,,,0,0,0.0,plastic bag:0.89;plastic bag:0.81;plastic bag:0.80,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.891,""qr"":"""",""valid"":true,""x_mm"":-590.1,""y_mm"":110.5,""z_mm"":1046.5,""status"":""valid""},{""idx"":2,""label"":""plastic bag"",""conf"":0.815,""qr"":"""",""valid"":true,""x_mm"":-82.3,""y_mm"":190.2,""z_mm"":951.0,""status"":""secondary valid""},{""idx"":3,""label"":""plastic bag"",""conf"":0.795,""qr"":"""",""valid"":true,""x_mm"":184.5,""y_mm"":219.2,""z_mm"":925.0,""status"":""secondary valid""}]"
37,2026-08-10T16:49:04.293,perf,runtime,,,,,,,,,,,,6.68,6.68,1.67,1.67,6.68,6.1,6.6,3,359.1,valid,36,2,True,51361,52275,0.886,128,507,128,506,-591.0,110.0,1047.0,1047.0,,0,0,0.0,,,0,0,0.0,plastic bag:0.89;plastic bag:0.83;plastic bag:0.80,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.886,""qr"":"""",""valid"":true,""x_mm"":-591.0,""y_mm"":110.0,""z_mm"":1047.0,""status"":""valid""},{""idx"":2,""label"":""plastic bag"",""conf"":0.831,""qr"":"""",""valid"":true,""x_mm"":-80.0,""y_mm"":189.8,""z_mm"":949.0,""status"":""secondary valid""},{""idx"":3,""label"":""plastic bag"",""conf"":0.799,""qr"":"""",""valid"":true,""x_mm"":185.1,""y_mm"":218.8,""z_mm"":923.0,""status"":""secondary valid""}]"
42,2026-08-10T16:49:04.939,perf,runtime,,,,,,,,,,,,7.75,7.75,1.55,1.55,7.75,5.8,4.7,3,83.4,valid,41,2,True,51384,52224,0.893,128,506,129,507,-590.1,110.5,1046.5,1046.5,,0,0,0.0,,,0,0,0.0,plastic bag:0.89;plastic bag:0.82;plastic bag:0.80,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.893,""qr"":"""",""valid"":true,""x_mm"":-590.1,""y_mm"":110.5,""z_mm"":1046.5,""status"":""valid""},{""idx"":2,""label"":""plastic bag"",""conf"":0.816,""qr"":"""",""valid"":true,""x_mm"":-81.3,""y_mm"":191.4,""z_mm"":952.0,""status"":""secondary valid""},{""idx"":3,""label"":""plastic bag"",""conf"":0.799,""qr"":"""",""valid"":true,""x_mm"":182.4,""y_mm"":219.2,""z_mm"":925.0,""status"":""secondary valid""}]"
46,2026-08-10T16:49:05.610,perf,runtime,,,,,,,,,,,,4.47,5.95,0.0,0.0,4.47,5.8,6.0,3,755.2,valid,44,2,True,51128,51968,0.891,129,508,129,506,-590.1,110.5,1046.5,1046.5,,0,0,0.0,,,0,0,0.0,plastic bag:0.89;plastic bag:0.84;plastic bag:0.81,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.891,""qr"":"""",""valid"":true,""x_mm"":-590.1,""y_mm"":110.5,""z_mm"":1046.5,""status"":""valid""},{""idx"":2,""label"":""plastic bag"",""conf"":0.838,""qr"":"""",""valid"":true,""x_mm"":-82.3,""y_mm"":190.4,""z_mm"":952.0,""status"":""secondary valid""},{""idx"":3,""label"":""plastic bag"",""conf"":0.808,""qr"":"""",""valid"":true,""x_mm"":182.4,""y_mm"":219.2,""z_mm"":925.0,""status"":""secondary valid""}]"
51,2026-08-10T16:49:06.125,perf,runtime,,,,,,,,,,,,9.71,9.71,1.94,1.94,9.71,5.8,6.4,3,327.1,valid,49,2,True,50849,51765,0.875,128,508,128,506,-589.8,111.1,1046.0,1046.0,,0,0,0.0,,,0,0,0.0,plastic bag:0.87;plastic bag:0.82;plastic bag:0.81,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.875,""qr"":"""",""valid"":true,""x_mm"":-589.8,""y_mm"":111.1,""z_mm"":1046.0,""status"":""valid""},{""idx"":2,""label"":""plastic bag"",""conf"":0.82,""qr"":"""",""valid"":true,""x_mm"":-81.2,""y_mm"":189.1,""z_mm"":951.0,""status"":""secondary valid""},{""idx"":3,""label"":""plastic bag"",""conf"":0.808,""qr"":"""",""valid"":true,""x_mm"":183.5,""y_mm"":218.2,""z_mm"":925.0,""status"":""secondary valid""}]"
