frame,timestamp,type,label,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2,center_u,center_v,depth_mm,x_mm,y_mm,z_mm,display_fps,rgb_rx_fps,depth_msg_rx_fps,depth_rx_fps,detect_fps,infer_ms,last_infer_ms,det_count,depth_age_ms,grasp_status,stable_frames,grasp_sample_count,raw_depth_valid,roi_valid_count,roi_total_count,primary_conf,raw_center_u,raw_center_v,smooth_center_u,smooth_center_v,grasp_x_mm,grasp_y_mm,grasp_z_mm,grasp_depth_mm,qr_texts,qr_live_count,qr_memory_count,qr_decode_ms,qr_source,qr_scan_mode,qr_scan_rois,qr_busy,raw_rgb_age_ms,det_summary,object_results
1,2026-08-10T14:06:30.558,perf,runtime,,,,,,,,,,,,1.15,2.31,0.0,0.0,1.15,40.6,40.6,2,0.0,stabilizing 1/2,1,0,,,,0.743,654,597,654,597,,,,,,0,0,0.0,,,0,0,0.0,plastic bag:0.74;plastic bag:0.39,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.743,""qr"":"""",""valid"":false,""x_mm"":"""",""y_mm"":"""",""z_mm"":"""",""status"":""stabilizing 1/2""},{""idx"":2,""label"":""plastic bag"",""conf"":0.385,""qr"":"""",""valid"":false,""x_mm"":"""",""y_mm"":"""",""z_mm"":"""",""status"":""no depth""}]"
8,2026-08-10T14:06:31.132,perf,runtime,,,,,,,,,,,,10.47,13.96,3.49,3.49,10.47,12.2,20.0,1,6.4,valid,7,1,True,69800,70400,0.657,654,598,654,598,9.4,199.9,989.0,989.0,,0,0,0.0,,,0,0,0.0,plastic bag:0.66,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.657,""qr"":"""",""valid"":true,""x_mm"":9.4,""y_mm"":199.9,""z_mm"":989.0,""status"":""valid""}]"
24,2026-08-10T14:06:31.750,perf,runtime,,,,,,,,,,,,22.63,25.86,3.23,3.23,22.63,8.5,11.6,2,155.8,valid,21,2,True,70284,71162,0.71,654,597,654,598,9.4,201.0,989.0,989.0,,0,0,0.0,,,0,0,0.0,plastic bag:0.71;plastic bag:0.34,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.71,""qr"":"""",""valid"":true,""x_mm"":9.4,""y_mm"":201.0,""z_mm"":989.0,""status"":""valid""},{""idx"":2,""label"":""plastic bag"",""conf"":0.34,""qr"":"""",""valid"":true,""x_mm"":554.5,""y_mm"":127.2,""z_mm"":961.0,""status"":""secondary valid""}]"
36,2026-08-10T14:06:32.290,perf,runtime,,,,,,,,,,,,20.4,18.54,3.71,3.71,20.4,6.4,6.4,1,30.7,valid,32,2,True,69964,70840,0.759,653,597,654,598,9.4,199.8,988.5,988.5,,0,0,0.0,,,0,0,0.0,plastic bag:0.76,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.759,""qr"":"""",""valid"":true,""x_mm"":9.4,""y_mm"":199.8,""z_mm"":988.5,""status"":""valid""}]"
46,2026-08-10T14:06:32.863,perf,runtime,,,,,,,,,,,,17.45,17.45,1.74,1.74,17.45,5.8,4.0,1,174.3,valid,42,2,True,69790,70518,0.774,653,598,654,598,9.4,200.1,990.0,990.0,,0,0,0.0,,,0,0,0.0,plastic bag:0.77,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.774,""qr"":"""",""valid"":true,""x_mm"":9.4,""y_mm"":200.1,""z_mm"":990.0,""status"":""valid""}]"
58,2026-08-10T14:06:33.371,perf,runtime,,,,,,,,,,,,23.61,23.61,3.94,3.94,23.61,5.5,4.2,1,51.7,valid,54,2,True,70998,71604,0.747,654,598,654,598,9.4,200.6,990.0,990.0,,0,0,0.0,,,0,0,0.0,plastic bag:0.75,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.747,""qr"":"""",""valid"":true,""x_mm"":9.4,""y_mm"":200.6,""z_mm"":990.0,""status"":""valid""}]"
69,2026-08-10T14:06:33.904,perf,runtime,,,,,,,,,,,,20.63,20.63,3.75,3.75,20.63,5.5,6.0,1,12.7,valid,65,2,True,70632,71280,0.763,654,598,654,598,9.4,200.1,990.0,990.0,,0,0,0.0,,,0,0,0.0,plastic bag:0.76,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.763,""qr"":"""",""valid"":true,""x_mm"":9.4,""y_mm"":200.1,""z_mm"":990.0,""status"":""valid""}]"
82,2026-08-10T14:06:34.421,perf,runtime,,,,,,,,,,,,25.16,25.16,3.87,3.87,25.16,5.7,4.2,1,30.6,valid,78,2,True,69844,70518,0.743,654,597,654,597,9.4,200.2,990.5,990.5,,0,0,0.0,,,0,0,0.0,plastic bag:0.74,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.743,""qr"":"""",""valid"":true,""x_mm"":9.4,""y_mm"":200.2,""z_mm"":990.5,""status"":""valid""}]"
91,2026-08-10T14:06:34.942,perf,runtime,,,,,,,,,,,,17.25,19.17,1.92,1.92,17.25,5.4,9.9,2,235.4,valid,87,2,True,70292,71162,0.769,654,596,654,597,9.4,200.2,990.5,990.5,,0,0,0.0,,,0,0,0.0,plastic bag:0.77;plastic bag:0.38,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.769,""qr"":"""",""valid"":true,""x_mm"":9.4,""y_mm"":200.2,""z_mm"":990.5,""status"":""valid""},{""idx"":2,""label"":""plastic bag"",""conf"":0.382,""qr"":"""",""valid"":true,""x_mm"":-681.6,""y_mm"":176.1,""z_mm"":1060.0,""status"":""secondary valid""}]"
104,2026-08-10T14:06:35.550,perf,runtime,,,,,,,,,,,,21.38,21.38,3.29,3.29,21.38,5.7,5.8,2,285.3,valid,100,2,True,69862,70518,0.701,654,599,654,598,9.4,200.4,989.0,989.0,,0,0,0.0,,,0,0,0.0,plastic bag:0.70;plastic bag:0.32,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.701,""qr"":"""",""valid"":true,""x_mm"":9.4,""y_mm"":200.4,""z_mm"":989.0,""status"":""valid""},{""idx"":2,""label"":""plastic bag"",""conf"":0.321,""qr"":"""",""valid"":true,""x_mm"":-681.6,""y_mm"":176.1,""z_mm"":1060.0,""status"":""secondary valid""}]"
