frame,timestamp,type,label,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2,center_u,center_v,depth_mm,x_mm,y_mm,z_mm,display_fps,rgb_rx_fps,depth_msg_rx_fps,depth_rx_fps,detect_fps,infer_ms,last_infer_ms,det_count,depth_age_ms,grasp_status,stable_frames,grasp_sample_count,raw_depth_valid,roi_valid_count,roi_total_count,primary_conf,raw_center_u,raw_center_v,smooth_center_u,smooth_center_v,grasp_x_mm,grasp_y_mm,grasp_z_mm,grasp_depth_mm,qr_texts,qr_live_count,qr_memory_count,qr_decode_ms,qr_source,qr_scan_mode,qr_scan_rois,qr_busy,raw_rgb_age_ms,det_summary,object_results
1,2026-08-21T14:38:33.644,perf,runtime,,,,,,,,,,,,1.35,5.39,0.0,0.0,1.35,39.0,39.0,1,0.0,stabilizing 1/2,1,0,,,,0.615,608,503,608,503,,,,,,0,0,0.0,,,0,0,0.0,plastic bag:0.61,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.615,""qr"":"""",""valid"":false,""x_mm"":"""",""y_mm"":"""",""z_mm"":"""",""status"":""stabilizing 1/2""}]"
13,2026-08-21T14:38:34.145,perf,runtime,,,,,,,,,,,,15.96,19.95,21.95,5.99,15.96,17.8,32.2,1,23.1,valid,9,2,True,111115,113993,0.501,607,503,607,503,-31.4,73.3,773.5,773.5,,0,0,0.0,,,0,0,0.0,plastic bag:0.50,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.501,""qr"":"""",""valid"":true,""x_mm"":-31.4,""y_mm"":73.3,""z_mm"":773.5,""status"":""valid""}]"
32,2026-08-21T14:38:34.695,perf,runtime,,,,,,,,,,,,16.36,36.36,14.54,3.64,16.36,14.0,29.6,1,151.6,valid,18,2,True,109394,112320,0.575,605,505,604,504,-37.1,74.1,768.0,768.0,,0,0,0.0,,,0,0,0.0,plastic bag:0.57,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.575,""qr"":"""",""valid"":true,""x_mm"":-37.1,""y_mm"":74.1,""z_mm"":768.0,""status"":""valid""}]"
42,2026-08-21T14:38:35.197,perf,runtime,,,,,,,,,,,,17.96,19.95,17.96,5.99,17.96,15.8,30.2,1,29.5,stabilizing 1/2,1,0,,,,0.563,608,504,608,504,,,,,,0,0,0.0,,,0,0,0.0,plastic bag:0.56,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.563,""qr"":"""",""valid"":false,""x_mm"":"""",""y_mm"":"""",""z_mm"":"""",""status"":""stabilizing 1/2""}]"
62,2026-08-21T14:38:35.728,perf,runtime,,,,,,,,,,,,22.56,35.73,15.04,3.76,22.56,13.0,20.9,1,154.1,valid,12,2,True,110801,113982,0.554,605,504,606,504,-32.2,73.7,773.0,773.0,,0,0,0.0,,,0,0,0.0,plastic bag:0.55,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.554,""qr"":"""",""valid"":true,""x_mm"":-32.2,""y_mm"":73.7,""z_mm"":773.0,""status"":""valid""}]"
80,2026-08-21T14:38:36.262,perf,runtime,,,,,,,,,,,,20.62,39.37,13.12,5.62,20.62,11.7,20.5,1,74.6,valid,23,2,True,110690,113498,0.577,608,505,604,504,-36.2,73.5,767.5,767.5,,0,0,0.0,,,0,0,0.0,plastic bag:0.58,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.577,""qr"":"""",""valid"":true,""x_mm"":-36.2,""y_mm"":73.5,""z_mm"":767.5,""status"":""valid""}]"
92,2026-08-21T14:38:36.764,perf,runtime,,,,,,,,,,,,17.91,17.91,19.9,3.98,17.91,9.0,4.6,1,160.7,valid,32,2,True,111076,114224,0.59,610,504,607,504,-33.0,73.9,771.0,771.0,,0,0,0.0,,,0,0,0.0,plastic bag:0.59,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.59,""qr"":"""",""valid"":true,""x_mm"":-33.0,""y_mm"":73.9,""z_mm"":771.0,""status"":""valid""}]"
111,2026-08-21T14:38:37.268,perf,runtime,,,,,,,,,,,,21.82,37.69,13.89,5.95,21.82,10.2,11.5,1,47.8,valid,43,2,True,111609,114708,0.677,607,503,608,504,-31.8,74.4,772.0,772.0,,0,0,0.0,,,0,0,0.0,plastic bag:0.68,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.677,""qr"":"""",""valid"":true,""x_mm"":-31.8,""y_mm"":74.4,""z_mm"":772.0,""status"":""valid""}]"
121,2026-08-21T14:38:37.804,perf,runtime,,,,,,,,,,,,18.67,18.67,18.67,3.73,18.67,10.3,8.9,1,170.2,valid,53,2,True,106283,109626,0.655,610,502,596,504,-36.7,73.5,767.5,767.5,,0,0,0.0,,,0,0,0.0,plastic bag:0.66,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.655,""qr"":"""",""valid"":true,""x_mm"":-36.7,""y_mm"":73.5,""z_mm"":767.5,""status"":""valid""}]"
140,2026-08-21T14:38:38.347,perf,runtime,,,,,,,,,,,,18.4,34.97,12.88,5.52,18.4,9.3,4.4,1,65.1,valid,63,2,True,106742,109626,0.566,606,506,595,504,-38.8,73.2,768.5,768.5,,0,0,0.0,,,0,0,0.0,plastic bag:0.57,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.566,""qr"":"""",""valid"":true,""x_mm"":-38.8,""y_mm"":73.2,""z_mm"":768.5,""status"":""valid""}]"
161,2026-08-21T14:38:38.946,perf,runtime,,,,,,,,,,,,21.7,35.05,13.35,5.01,21.7,8.6,31.2,1,48.6,valid,76,2,True,113584,117030,0.532,606,501,605,502,-34.2,72.9,769.5,769.5,,0,0,0.0,,,0,0,0.0,plastic bag:0.53,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.532,""qr"":"""",""valid"":true,""x_mm"":-34.2,""y_mm"":72.9,""z_mm"":769.5,""status"":""valid""}]"
171,2026-08-21T14:38:39.464,perf,runtime,,,,,,,,,,,,13.51,19.3,19.3,3.86,13.51,11.6,17.4,1,154.0,valid,83,2,True,103378,106238,0.718,611,502,589,505,-40.4,72.7,767.5,767.5,,0,0,0.0,,,0,0,0.0,plastic bag:0.72,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.718,""qr"":"""",""valid"":true,""x_mm"":-40.4,""y_mm"":72.7,""z_mm"":767.5,""status"":""valid""}]"
191,2026-08-21T14:38:39.983,perf,runtime,,,,,,,,,,,,17.36,38.57,13.5,5.79,17.36,11.9,4.4,1,60.5,valid,92,2,True,104760,107649,0.546,607,500,589,504,-52.5,74.5,760.0,760.0,,0,0,0.0,,,0,0,0.0,plastic bag:0.55,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.546,""qr"":"""",""valid"":true,""x_mm"":-52.5,""y_mm"":74.5,""z_mm"":760.0,""status"":""valid""}]"
200,2026-08-21T14:38:40.490,perf,runtime,,,,,,,,,,,,17.74,25.62,17.74,3.94,17.74,13.0,12.9,1,154.8,valid,101,2,True,105052,108092,0.41,562,505,590,503,-39.9,72.2,766.0,766.0,,0,0,0.0,,,0,0,0.0,plastic bag:0.41,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.41,""qr"":"""",""valid"":true,""x_mm"":-39.9,""y_mm"":72.2,""z_mm"":766.0,""status"":""valid""}]"
221,2026-08-21T14:38:41.023,perf,runtime,,,,,,,,,,,,20.65,30.04,15.02,5.63,20.65,10.2,25.6,1,77.3,valid,112,2,True,112429,115874,0.572,597,502,598,501,-41.7,70.5,767.0,767.0,,0,0,0.0,,,0,0,0.0,plastic bag:0.57,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.572,""qr"":"""",""valid"":true,""x_mm"":-41.7,""y_mm"":70.5,""z_mm"":767.0,""status"":""valid""}]"
241,2026-08-21T14:38:41.602,perf,runtime,,,,,,,,,,,,19.0,36.26,15.54,5.18,19.0,10.7,24.8,1,44.8,valid,123,2,True,111041,114436,0.676,608,502,603,503,-34.3,72.7,771.5,771.5,,0,0,0.0,,,0,0,0.0,plastic bag:0.68,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.676,""qr"":"""",""valid"":true,""x_mm"":-34.3,""y_mm"":72.7,""z_mm"":771.5,""status"":""valid""}]"
252,2026-08-21T14:38:42.133,perf,runtime,,,,,,,,,,,,20.7,18.82,18.82,3.76,20.7,8.9,4.4,1,177.7,valid,134,2,True,107964,111078,0.394,560,508,597,504,-33.0,73.8,770.0,770.0,,0,0,0.0,,,0,0,0.0,plastic bag:0.39,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.394,""qr"":"""",""valid"":true,""x_mm"":-33.0,""y_mm"":73.8,""z_mm"":770.0,""status"":""valid""}]"
272,2026-08-21T14:38:42.662,perf,runtime,,,,,,,,,,,,18.92,39.73,15.14,5.68,18.92,9.8,4.8,1,87.2,valid,144,2,True,108769,111804,0.383,606,502,598,504,-37.9,73.1,767.5,767.5,,0,0,0.0,,,0,0,0.0,plastic bag:0.38,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.383,""qr"":"""",""valid"":true,""x_mm"":-37.9,""y_mm"":73.1,""z_mm"":767.5,""status"":""valid""}]"
282,2026-08-21T14:38:43.162,perf,runtime,,,,,,,,,,,,19.99,19.99,19.99,4.0,19.99,8.9,14.2,2,159.8,valid,154,2,True,112470,115656,0.548,605,503,603,503,-40.0,72.8,768.5,768.5,,0,0,0.0,,,0,0,0.0,plastic bag:0.55;plastic bag:0.31,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.548,""qr"":"""",""valid"":true,""x_mm"":-40.0,""y_mm"":72.8,""z_mm"":768.5,""status"":""valid""},{""idx"":2,""label"":""plastic bag"",""conf"":0.307,""qr"":"""",""valid"":true,""x_mm"":-1196.8,""y_mm"":-952.7,""z_mm"":3501.0,""status"":""secondary valid""}]"
301,2026-08-21T14:38:43.679,perf,runtime,,,,,,,,,,,,21.3,36.8,13.56,5.81,21.3,7.7,4.4,1,60.5,valid,165,2,True,112161,115425,0.511,606,501,605,502,-33.9,73.4,770.5,770.5,,0,0,0.0,,,0,0,0.0,plastic bag:0.51,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.511,""qr"":"""",""valid"":true,""x_mm"":-33.9,""y_mm"":73.4,""z_mm"":770.5,""status"":""valid""}]"
318,2026-08-21T14:38:44.198,perf,runtime,,,,,,,,,,,,21.17,38.5,13.47,3.85,21.17,6.9,12.4,1,167.6,valid,176,2,True,110212,113238,0.488,608,500,602,503,-37.1,73.2,768.5,768.5,,0,0,0.0,,,0,0,0.0,plastic bag:0.49,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.488,""qr"":"""",""valid"":true,""x_mm"":-37.1,""y_mm"":73.2,""z_mm"":768.5,""status"":""valid""}]"
331,2026-08-21T14:38:44.716,perf,runtime,,,,,,,,,,,,19.32,17.38,17.38,5.79,19.32,6.2,4.2,1,86.1,valid,186,2,True,112908,116130,0.479,610,501,605,502,-36.2,73.2,768.0,768.0,,0,0,0.0,,,0,0,0.0,plastic bag:0.48,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.479,""qr"":"""",""valid"":true,""x_mm"":-36.2,""y_mm"":73.2,""z_mm"":768.0,""status"":""valid""}]"
