frame,timestamp,type,label,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2,center_u,center_v,depth_mm,x_mm,y_mm,z_mm,display_fps,rgb_rx_fps,depth_msg_rx_fps,depth_rx_fps,detect_fps,infer_ms,last_infer_ms,det_count,depth_age_ms,grasp_status,stable_frames,grasp_sample_count,raw_depth_valid,roi_valid_count,roi_total_count,primary_conf,raw_center_u,raw_center_v,smooth_center_u,smooth_center_v,grasp_x_mm,grasp_y_mm,grasp_z_mm,grasp_depth_mm,qr_texts,qr_live_count,qr_memory_count,qr_decode_ms,qr_source,qr_scan_mode,qr_scan_rois,qr_busy,raw_rgb_age_ms,det_summary,object_results
1,2026-08-10T15:05:26.637,perf,runtime,,,,,,,,,,,,0.14,0.28,0.0,0.0,0.14,52.4,52.4,1,0.0,stabilizing 1/2,1,0,,,,0.797,687,622,687,622,,,,,,0,0,0.0,,,0,0,0.0,plastic bag:0.80,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.797,""qr"":"""",""valid"":false,""x_mm"":"""",""y_mm"":"""",""z_mm"":"""",""status"":""stabilizing 1/2""}]"
4,2026-08-10T15:05:27.904,perf,runtime,,,,,,,,,,,,2.37,1.58,0.79,0.79,2.37,20.7,10.5,1,293.4,valid,4,1,True,35494,35880,0.779,687,623,687,622,43.2,227.8,948.0,948.0,,0,0,0.0,,,0,0,0.0,plastic bag:0.78,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.779,""qr"":"""",""valid"":true,""x_mm"":43.2,""y_mm"":227.8,""z_mm"":948.0,""status"":""valid""}]"
5,2026-08-10T15:05:29.105,perf,runtime,,,,,,,,,,,,0.83,0.83,0.0,0.0,0.83,18.8,11.5,1,1494.2,stale depth 1477ms,5,1,,,,0.764,685,623,686,622,,,,,,0,0,0.0,,,0,0,0.0,plastic bag:0.76,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.764,""qr"":"""",""valid"":false,""x_mm"":"""",""y_mm"":"""",""z_mm"":"""",""status"":""stale depth 1477ms""}]"
7,2026-08-10T15:05:30.023,perf,runtime,,,,,,,,,,,,2.18,2.18,1.09,1.09,2.18,16.4,12.8,2,692.7,valid,7,2,True,35472,36036,0.8,687,623,686,623,42.7,228.1,947.0,947.0,,0,0,0.0,,,0,0,0.0,plastic bag:0.80;plastic bag:0.43,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.8,""qr"":"""",""valid"":true,""x_mm"":42.7,""y_mm"":228.1,""z_mm"":947.0,""status"":""valid""},{""idx"":2,""label"":""plastic bag"",""conf"":0.433,""qr"":"""",""valid"":true,""x_mm"":2425.4,""y_mm"":-955.8,""z_mm"":3737.0,""status"":""secondary valid""}]"
9,2026-08-10T15:05:31.280,perf,runtime,,,,,,,,,,,,1.59,1.59,0.0,0.0,1.59,15.2,11.3,2,1949.8,valid,9,2,,,,0.795,686,623,687,623,42.7,228.1,947.0,947.0,,0,0,0.0,,,0,0,0.0,plastic bag:0.80;plastic bag:0.37,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.795,""qr"":"""",""valid"":true,""x_mm"":42.7,""y_mm"":228.1,""z_mm"":947.0,""status"":""valid""},{""idx"":2,""label"":""plastic bag"",""conf"":0.369,""qr"":"""",""valid"":false,""x_mm"":"""",""y_mm"":"""",""z_mm"":"""",""status"":""stale depth 1933ms""}]"
