frame,timestamp,type,label,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2,center_u,center_v,depth_mm,x_mm,y_mm,z_mm,display_fps,rgb_rx_fps,depth_msg_rx_fps,depth_rx_fps,detect_fps,infer_ms,last_infer_ms,det_count,depth_age_ms,grasp_status,stable_frames,grasp_sample_count,raw_depth_valid,roi_valid_count,roi_total_count,primary_conf,raw_center_u,raw_center_v,smooth_center_u,smooth_center_v,grasp_x_mm,grasp_y_mm,grasp_z_mm,grasp_depth_mm,qr_texts,qr_live_count,qr_memory_count,qr_decode_ms,qr_source,qr_scan_mode,qr_scan_rois,qr_busy,raw_rgb_age_ms,det_summary,object_results
1,2026-08-12T09:34:25.046,perf,runtime,,,,,,,,,,,,1.1,4.4,4.4,1.1,1.1,48.7,48.7,1,123.0,stabilizing 1/2,1,0,,,,0.821,711,583,711,583,,,,,,0,0,0.0,,,0,0,0.0,plastic bag:0.82,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.821,""qr"":"""",""valid"":false,""x_mm"":"""",""y_mm"":"""",""z_mm"":"""",""status"":""stabilizing 1/2""}]"
14,2026-08-12T09:34:25.564,perf,runtime,,,,,,,,,,,,19.3,21.23,21.23,5.79,19.3,15.9,4.5,1,23.6,valid,11,2,True,72610,73600,0.829,712,581,713,581,71.2,178.2,971.0,971.0,,0,0,0.0,,,0,0,0.0,plastic bag:0.83,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.829,""qr"":"""",""valid"":true,""x_mm"":71.2,""y_mm"":178.2,""z_mm"":971.0,""status"":""valid""}]"
33,2026-08-12T09:34:26.096,perf,runtime,,,,,,,,,,,,18.8,37.59,16.92,3.76,18.8,14.0,21.4,1,152.6,valid,21,2,True,71698,72732,0.815,713,579,712,581,70.7,177.8,971.0,971.0,,0,0,0.0,,,0,0,0.0,plastic bag:0.82,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.815,""qr"":"""",""valid"":true,""x_mm"":70.7,""y_mm"":177.8,""z_mm"":971.0,""status"":""valid""}]"
45,2026-08-12T09:34:26.628,perf,runtime,,,,,,,,,,,,20.68,20.68,20.68,5.64,20.68,9.8,6.9,1,69.2,valid,32,2,True,70504,71550,0.834,713,578,713,581,71.3,179.6,972.5,972.5,,0,0,0.0,,,0,0,0.0,plastic bag:0.83,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.834,""qr"":"""",""valid"":true,""x_mm"":71.3,""y_mm"":179.6,""z_mm"":972.5,""status"":""valid""}]"
65,2026-08-12T09:34:27.169,perf,runtime,,,,,,,,,,,,18.5,38.84,18.5,3.7,18.5,8.1,28.8,1,192.3,valid,42,2,True,72704,73600,0.822,712,581,713,581,72.3,176.8,971.8,971.8,,0,0,0.0,,,0,0,0.0,plastic bag:0.82,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.822,""qr"":"""",""valid"":true,""x_mm"":72.3,""y_mm"":176.8,""z_mm"":971.8,""status"":""valid""}]"
77,2026-08-12T09:34:27.739,perf,runtime,,,,,,,,,,,,19.27,33.29,19.27,5.26,19.27,7.3,12.3,1,151.6,valid,53,2,True,71540,72504,0.821,712,583,713,582,72.4,177.4,972.5,972.5,,0,0,0.0,,,0,0,0.0,plastic bag:0.82,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.821,""qr"":"""",""valid"":true,""x_mm"":72.4,""y_mm"":177.4,""z_mm"":972.5,""status"":""valid""}]"
98,2026-08-12T09:34:28.255,perf,runtime,,,,,,,,,,,,21.32,25.2,19.38,5.81,21.32,7.0,4.2,1,44.3,valid,64,2,True,73879,74793,0.815,713,579,712,581,71.3,177.3,971.5,971.5,,0,0,0.0,,,0,0,0.0,plastic bag:0.82,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.815,""qr"":"""",""valid"":true,""x_mm"":71.3,""y_mm"":177.3,""z_mm"":971.5,""status"":""valid""}]"
109,2026-08-12T09:34:28.766,perf,runtime,,,,,,,,,,,,21.53,29.35,21.53,3.91,21.53,5.5,7.9,1,145.0,valid,75,2,True,73962,74704,0.831,713,579,713,581,72.0,178.7,973.0,973.0,,0,0,0.0,,,0,0,0.0,plastic bag:0.83,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.831,""qr"":"""",""valid"":true,""x_mm"":72.0,""y_mm"":178.7,""z_mm"":973.0,""status"":""valid""}]"
129,2026-08-12T09:34:29.269,perf,runtime,,,,,,,,,,,,21.89,31.84,17.91,5.97,21.89,9.3,4.4,1,22.4,valid,86,2,True,72566,73416,0.821,714,580,713,583,72.5,178.8,973.5,973.5,,0,0,0.0,,,0,0,0.0,plastic bag:0.82,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.821,""qr"":"""",""valid"":true,""x_mm"":72.5,""y_mm"":178.8,""z_mm"":973.5,""status"":""valid""}]"
140,2026-08-12T09:34:29.770,perf,runtime,,,,,,,,,,,,21.95,21.95,21.95,3.99,21.95,10.8,4.4,1,128.7,valid,97,2,True,71221,72225,0.781,711,589,712,582,71.9,176.0,973.0,973.0,,0,0,0.0,,,0,0,0.0,plastic bag:0.78,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.781,""qr"":"""",""valid"":true,""x_mm"":71.9,""y_mm"":176.0,""z_mm"":973.0,""status"":""valid""}]"
