frame,timestamp,type,label,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2,center_u,center_v,depth_mm,x_mm,y_mm,z_mm,display_fps,rgb_rx_fps,depth_msg_rx_fps,depth_rx_fps,detect_fps,infer_ms,last_infer_ms,det_count,depth_age_ms,grasp_status,stable_frames,grasp_sample_count,raw_depth_valid,roi_valid_count,roi_total_count,primary_conf,raw_center_u,raw_center_v,smooth_center_u,smooth_center_v,grasp_x_mm,grasp_y_mm,grasp_z_mm,grasp_depth_mm,qr_texts,qr_live_count,qr_memory_count,qr_decode_ms,qr_source,qr_scan_mode,qr_scan_rois,qr_busy,raw_rgb_age_ms,det_summary,object_results
1,2026-08-10T15:45:13.762,perf,runtime,,,,,,,,,,,,0.72,0.72,0.0,0.0,0.72,41.5,41.5,1,0.0,stabilizing 1/2,1,0,,,,0.571,453,632,453,632,,,,,,0,0,0.0,,,0,0,0.0,plastic bag:0.57,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.571,""qr"":"""",""valid"":false,""x_mm"":"""",""y_mm"":"""",""z_mm"":"""",""status"":""stabilizing 1/2""}]"
5,2026-08-10T15:45:14.338,perf,runtime,,,,,,,,,,,,6.95,6.95,1.74,1.74,6.95,13.8,6.5,1,374.6,valid,5,1,True,82434,87538,0.578,440,633,448,632,-198.7,229.8,923.0,923.0,,0,0,0.0,,,0,0,0.0,plastic bag:0.58,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.578,""qr"":"""",""valid"":true,""x_mm"":-198.7,""y_mm"":229.8,""z_mm"":923.0,""status"":""valid""}]"
8,2026-08-10T15:45:14.966,perf,runtime,,,,,,,,,,,,4.78,4.78,1.59,1.59,4.78,10.8,4.9,1,206.6,valid,8,2,True,80618,86478,0.473,446,632,449,632,-195.7,228.8,923.0,923.0,,0,0,0.0,,,0,0,0.0,plastic bag:0.47,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.473,""qr"":"""",""valid"":true,""x_mm"":-195.7,""y_mm"":228.8,""z_mm"":923.0,""status"":""valid""}]"
10,2026-08-10T15:45:15.514,perf,runtime,,,,,,,,,,,,3.65,3.65,1.82,1.82,3.65,10.2,6.9,1,127.3,valid,10,2,True,80452,86592,0.628,450,630,451,632,-196.2,228.8,923.0,923.0,,0,0,0.0,,,0,0,0.0,plastic bag:0.63,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.628,""qr"":"""",""valid"":true,""x_mm"":-196.2,""y_mm"":228.8,""z_mm"":923.0,""status"":""valid""}]"
13,2026-08-10T15:45:16.141,perf,runtime,,,,,,,,,,,,4.78,4.78,1.59,1.59,4.78,9.4,5.4,1,26.3,valid,13,2,True,81570,86975,0.605,453,630,453,631,-194.1,228.2,922.5,922.5,,0,0,0.0,,,0,0,0.0,plastic bag:0.60,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.605,""qr"":"""",""valid"":true,""x_mm"":-194.1,""y_mm"":228.2,""z_mm"":922.5,""status"":""valid""}]"
15,2026-08-10T15:45:16.689,perf,runtime,,,,,,,,,,,,3.65,3.65,0.0,0.0,3.65,9.0,7.1,1,573.7,valid,15,2,True,81395,86800,0.425,447,632,453,631,-194.1,228.2,922.5,922.5,,0,0,0.0,,,0,0,0.0,plastic bag:0.42,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.425,""qr"":"""",""valid"":true,""x_mm"":-194.1,""y_mm"":228.2,""z_mm"":922.5,""status"":""valid""}]"
18,2026-08-10T15:45:17.439,perf,runtime,,,,,,,,,,,,4.0,4.0,1.33,1.33,4.0,8.7,9.9,1,492.3,valid,18,2,True,80650,86240,0.402,459,630,452,632,-194.4,228.1,922.0,922.0,,0,0,0.0,,,0,0,0.0,plastic bag:0.40,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.402,""qr"":"""",""valid"":true,""x_mm"":-194.4,""y_mm"":228.1,""z_mm"":922.0,""status"":""valid""}]"
21,2026-08-10T15:45:18.158,perf,runtime,,,,,,,,,,,,4.17,4.17,1.39,1.39,4.17,8.5,6.2,1,424.0,valid,21,2,True,78557,84564,0.597,437,633,446,632,-196.8,227.7,918.5,918.5,,0,0,0.0,,,0,0,0.0,plastic bag:0.60,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.597,""qr"":"""",""valid"":true,""x_mm"":-196.8,""y_mm"":227.7,""z_mm"":918.5,""status"":""valid""}]"
25,2026-08-10T15:45:18.831,perf,runtime,,,,,,,,,,,,5.94,5.94,1.49,1.49,5.94,8.3,4.4,1,202.1,valid,25,2,True,80572,86130,0.683,445,632,446,632,-198.8,227.7,918.5,918.5,,0,0,0.0,,,0,0,0.0,plastic bag:0.68,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.683,""qr"":"""",""valid"":true,""x_mm"":-198.8,""y_mm"":227.7,""z_mm"":918.5,""status"":""valid""}]"
28,2026-08-10T15:45:19.503,perf,runtime,,,,,,,,,,,,4.46,4.46,1.49,1.49,4.46,8.0,5.3,1,52.6,valid,28,2,True,80399,86975,0.684,447,630,447,631,-200.0,228.7,924.5,924.5,,0,0,0.0,,,0,0,0.0,plastic bag:0.68,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.684,""qr"":"""",""valid"":true,""x_mm"":-200.0,""y_mm"":228.7,""z_mm"":924.5,""status"":""valid""}]"
