frame,timestamp,type,label,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2,center_u,center_v,depth_mm,x_mm,y_mm,z_mm,display_fps,rgb_rx_fps,depth_msg_rx_fps,depth_rx_fps,detect_fps,infer_ms,last_infer_ms,det_count,depth_age_ms,grasp_status,stable_frames,grasp_sample_count,raw_depth_valid,roi_valid_count,roi_total_count,primary_conf,raw_center_u,raw_center_v,smooth_center_u,smooth_center_v,grasp_x_mm,grasp_y_mm,grasp_z_mm,grasp_depth_mm,qr_texts,qr_live_count,qr_memory_count,qr_decode_ms,qr_source,qr_scan_mode,qr_scan_rois,qr_busy,raw_rgb_age_ms,det_summary,object_results
1,2026-08-18T10:33:09.551,perf,runtime,,,,,,,,,,,,0.9,4.51,0.0,0.0,0.9,84.7,84.7,1,0.0,stabilizing 1/2,1,0,,,,0.825,740,494,740,494,,,,,,0,0,0.0,,,0,0,0.0,plastic bag:0.83,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.825,""qr"":"""",""valid"":false,""x_mm"":"""",""y_mm"":"""",""z_mm"":"""",""status"":""stabilizing 1/2""}]"
16,2026-08-18T10:33:10.086,perf,runtime,,,,,,,,,,,,16.8,22.41,1.87,1.87,16.8,22.4,12.3,1,69.0,no depth,10,0,,,,0.832,740,495,740,494,,,,,,0,0,0.0,,,0,0,0.0,plastic bag:0.83,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.832,""qr"":"""",""valid"":false,""x_mm"":"""",""y_mm"":"""",""z_mm"":"""",""status"":""no depth""}]"
25,2026-08-18T10:33:10.599,perf,runtime,,,,,,,,,,,,15.59,15.59,0.0,0.0,15.59,18.6,12.4,1,582.0,no depth,18,0,,,,0.841,741,496,739,495,,,,,,0,0,0.0,,,0,0,0.0,plastic bag:0.84,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.841,""qr"":"""",""valid"":false,""x_mm"":"""",""y_mm"":"""",""z_mm"":"""",""status"":""no depth""}]"
34,2026-08-18T10:33:11.129,perf,runtime,,,,,,,,,,,,16.98,16.98,1.89,1.89,16.98,16.5,9.3,1,270.7,valid,27,1,True,70146,71720,0.821,735,494,739,495,91.8,80.6,897.0,897.0,,0,0,0.0,,,0,0,0.0,plastic bag:0.82,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.821,""qr"":"""",""valid"":true,""x_mm"":91.8,""y_mm"":80.6,""z_mm"":897.0,""status"":""valid""}]"
44,2026-08-18T10:33:11.693,perf,runtime,,,,,,,,,,,,10.63,17.72,0.0,0.0,10.63,13.1,8.4,1,834.9,valid,33,1,True,70366,71940,0.824,738,497,739,495,92.8,80.7,898.0,898.0,,0,0,0.0,,,0,0,0.0,plastic bag:0.82,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.824,""qr"":"""",""valid"":true,""x_mm"":92.8,""y_mm"":80.7,""z_mm"":898.0,""status"":""valid""}]"
52,2026-08-18T10:33:12.303,perf,runtime,,,,,,,,,,,,13.12,14.76,1.64,1.64,13.12,12.0,12.1,1,392.5,valid,41,2,True,70510,72372,0.86,741,493,740,494,92.7,81.6,897.0,897.0,,0,0,0.0,,,0,0,0.0,plastic bag:0.86,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.86,""qr"":"""",""valid"":true,""x_mm"":92.7,""y_mm"":81.6,""z_mm"":897.0,""status"":""valid""}]"
59,2026-08-18T10:33:12.869,perf,runtime,,,,,,,,,,,,12.37,10.6,0.0,0.0,12.37,11.1,8.5,1,958.3,valid,48,2,True,70176,71940,0.838,738,493,739,494,92.7,81.6,897.0,897.0,,0,0,0.0,,,0,0,0.0,plastic bag:0.84,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.838,""qr"":"""",""valid"":true,""x_mm"":92.7,""y_mm"":81.6,""z_mm"":897.0,""status"":""valid""}]"
63,2026-08-18T10:33:13.400,perf,runtime,,,,,,,,,,,,7.53,7.53,0.0,0.0,7.53,10.8,9.9,1,1489.2,valid,52,2,,,,0.849,739,494,739,494,92.7,81.6,897.0,897.0,,0,0,0.0,,,0,0,0.0,plastic bag:0.85,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.849,""qr"":"""",""valid"":true,""x_mm"":92.7,""y_mm"":81.6,""z_mm"":897.0,""status"":""valid""}]"
72,2026-08-18T10:33:13.954,perf,runtime,,,,,,,,,,,,16.23,18.04,1.8,1.8,16.23,10.7,16.5,1,434.6,valid,61,2,True,70100,71720,0.823,741,496,740,495,92.7,80.6,897.0,897.0,,0,0,0.0,,,0,0,0.0,plastic bag:0.82,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.823,""qr"":"""",""valid"":true,""x_mm"":92.7,""y_mm"":80.6,""z_mm"":897.0,""status"":""valid""}]"
83,2026-08-18T10:33:14.457,perf,runtime,,,,,,,,,,,,17.91,23.88,1.99,1.99,17.91,11.2,10.6,1,39.8,valid,70,2,True,69774,71394,0.828,743,493,740,494,92.8,80.2,897.5,897.5,,0,0,0.0,,,0,0,0.0,plastic bag:0.83,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.828,""qr"":"""",""valid"":true,""x_mm"":92.8,""y_mm"":80.2,""z_mm"":897.5,""status"":""valid""}]"
97,2026-08-18T10:33:14.996,perf,runtime,,,,,,,,,,,,16.69,24.11,0.0,0.0,16.69,12.6,12.8,1,579.1,valid,79,2,True,70046,71720,0.842,740,495,740,495,92.8,80.2,897.5,897.5,,0,0,0.0,,,0,0,0.0,plastic bag:0.84,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.842,""qr"":"""",""valid"":true,""x_mm"":92.8,""y_mm"":80.2,""z_mm"":897.5,""status"":""valid""}]"
108,2026-08-18T10:33:15.528,perf,runtime,,,,,,,,,,,,18.79,18.79,1.88,1.88,18.79,12.5,7.5,1,387.9,valid,89,2,True,69766,71500,0.846,742,494,740,494,92.8,80.7,898.0,898.0,,0,0,0.0,,,0,0,0.0,plastic bag:0.85,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.846,""qr"":"""",""valid"":true,""x_mm"":92.8,""y_mm"":80.7,""z_mm"":898.0,""status"":""valid""}]"
117,2026-08-18T10:33:16.121,perf,runtime,,,,,,,,,,,,15.19,16.87,1.69,1.69,15.19,12.4,11.3,1,55.4,valid,98,2,True,69949,71613,0.818,737,494,739,494,92.8,80.7,898.0,898.0,,0,0,0.0,,,0,0,0.0,plastic bag:0.82,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.818,""qr"":"""",""valid"":true,""x_mm"":92.8,""y_mm"":80.7,""z_mm"":898.0,""status"":""valid""}]"
126,2026-08-18T10:33:16.631,perf,runtime,,,,,,,,,,,,13.73,17.65,0.0,0.0,13.73,11.6,13.7,1,565.3,valid,105,2,True,69931,71613,0.842,739,495,740,494,92.8,80.7,898.0,898.0,,0,0,0.0,,,0,0,0.0,plastic bag:0.84,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.842,""qr"":"""",""valid"":true,""x_mm"":92.8,""y_mm"":80.7,""z_mm"":898.0,""status"":""valid""}]"
135,2026-08-18T10:33:17.178,perf,runtime,,,,,,,,,,,,16.44,16.44,1.83,1.83,16.44,11.4,13.6,1,149.6,valid,114,2,True,69840,71720,0.823,742,493,740,494,92.7,80.6,897.0,897.0,,0,0,0.0,,,0,0,0.0,plastic bag:0.82,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.823,""qr"":"""",""valid"":true,""x_mm"":92.7,""y_mm"":80.6,""z_mm"":897.0,""status"":""valid""}]"
145,2026-08-18T10:33:17.702,perf,runtime,,,,,,,,,,,,17.19,19.1,0.0,0.0,17.19,12.0,10.2,1,673.1,valid,123,2,True,69381,71175,0.832,741,495,740,494,92.7,80.6,897.0,897.0,,0,0,0.0,,,0,0,0.0,plastic bag:0.83,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.832,""qr"":"""",""valid"":true,""x_mm"":92.7,""y_mm"":80.6,""z_mm"":897.0,""status"":""valid""}]"
149,2026-08-18T10:33:18.581,perf,runtime,,,,,,,,,,,,3.41,5.69,1.14,1.14,3.41,11.6,8.3,1,39.5,valid,126,2,True,69381,71175,0.838,742,493,740,494,92.7,80.6,897.0,897.0,,0,0,0.0,,,0,0,0.0,plastic bag:0.84,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.838,""qr"":"""",""valid"":true,""x_mm"":92.7,""y_mm"":80.6,""z_mm"":897.0,""status"":""valid""}]"
159,2026-08-18T10:33:19.133,perf,runtime,,,,,,,,,,,,14.47,16.28,0.0,0.0,14.47,12.0,12.5,1,592.3,valid,134,2,True,69584,71280,0.832,741,494,741,494,92.7,80.6,897.0,897.0,,0,0,0.0,,,0,0,0.0,plastic bag:0.83,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.832,""qr"":"""",""valid"":true,""x_mm"":92.7,""y_mm"":80.6,""z_mm"":897.0,""status"":""valid""}]"
