frame,timestamp,type,label,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2,center_u,center_v,depth_mm,x_mm,y_mm,z_mm,display_fps,rgb_rx_fps,depth_msg_rx_fps,depth_rx_fps,detect_fps,infer_ms,last_infer_ms,det_count,depth_age_ms,grasp_status,stable_frames,grasp_sample_count,raw_depth_valid,roi_valid_count,roi_total_count,primary_conf,raw_center_u,raw_center_v,smooth_center_u,smooth_center_v,grasp_x_mm,grasp_y_mm,grasp_z_mm,grasp_depth_mm,qr_texts,qr_live_count,qr_memory_count,qr_decode_ms,qr_source,qr_scan_mode,qr_scan_rois,qr_busy,raw_rgb_age_ms,det_summary,object_results
1,2026-08-10T11:12:51.784,perf,runtime,,,,,,,,,,,,0.62,1.87,0.0,0.0,0.62,105.9,105.9,3,0.0,stabilizing 1/2,1,0,,,,0.696,629,616,629,616,,,,,,0,0,0.0,,,0,0,0.0,plastic bag:0.70;plastic bag:0.50;plastic bag:0.31,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.696,""qr"":"""",""valid"":false,""x_mm"":"""",""y_mm"":"""",""z_mm"":"""",""status"":""stabilizing 1/2""},{""idx"":2,""label"":""plastic bag"",""conf"":0.502,""qr"":"""",""valid"":false,""x_mm"":"""",""y_mm"":"""",""z_mm"":"""",""status"":""no depth""},{""idx"":3,""label"":""plastic bag"",""conf"":0.308,""qr"":"""",""valid"":false,""x_mm"":"""",""y_mm"":"""",""z_mm"":"""",""status"":""no depth""}]"
5,2026-08-10T11:12:52.299,perf,runtime,,,,,,,,,,,,5.83,3.89,0.0,0.0,5.83,42.5,24.3,2,0.0,no depth,4,0,,,,0.702,628,617,629,616,,,,,,0,0,0.0,,,0,0,0.0,plastic bag:0.70;plastic bag:0.50,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.702,""qr"":"""",""valid"":false,""x_mm"":"""",""y_mm"":"""",""z_mm"":"""",""status"":""no depth""},{""idx"":2,""label"":""plastic bag"",""conf"":0.497,""qr"":"""",""valid"":false,""x_mm"":"""",""y_mm"":"""",""z_mm"":"""",""status"":""no depth""}]"
9,2026-08-10T11:12:52.919,perf,runtime,,,,,,,,,,,,6.45,6.45,3.22,3.22,6.45,31.9,27.9,2,55.9,valid,8,2,True,68391,69085,0.699,629,616,629,616,-16.2,212.8,945.5,945.5,,0,0,0.0,,,0,0,0.0,plastic bag:0.70;plastic bag:0.56,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.699,""qr"":"""",""valid"":true,""x_mm"":-16.2,""y_mm"":212.8,""z_mm"":945.5,""status"":""valid""},{""idx"":2,""label"":""plastic bag"",""conf"":0.56,""qr"":"""",""valid"":true,""x_mm"":637.2,""y_mm"":213.1,""z_mm"":1016.0,""status"":""secondary valid""}]"
15,2026-08-10T11:12:53.530,perf,runtime,,,,,,,,,,,,9.82,9.82,3.27,3.27,9.82,27.3,28.3,2,131.3,valid,14,2,True,68803,69495,0.691,630,616,629,616,-15.8,213.1,947.0,947.0,,0,0,0.0,,,0,0,0.0,plastic bag:0.69;plastic bag:0.61,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.691,""qr"":"""",""valid"":true,""x_mm"":-15.8,""y_mm"":213.1,""z_mm"":947.0,""status"":""valid""},{""idx"":2,""label"":""plastic bag"",""conf"":0.611,""qr"":"""",""valid"":true,""x_mm"":636.0,""y_mm"":216.0,""z_mm"":1014.0,""status"":""secondary valid""}]"
20,2026-08-10T11:12:54.117,perf,runtime,,,,,,,,,,,,8.53,8.53,3.41,3.41,8.53,25.0,17.5,2,10.2,stabilizing 1/2,1,0,,,,0.56,1221,605,1221,605,,,,,,0,0,0.0,,,0,0,0.0,plastic bag:0.56;plastic bag:0.55,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.56,""qr"":"""",""valid"":false,""x_mm"":"""",""y_mm"":"""",""z_mm"":"""",""status"":""stabilizing 1/2""},{""idx"":2,""label"":""plastic bag"",""conf"":0.545,""qr"":"""",""valid"":true,""x_mm"":-15.8,""y_mm"":212.7,""z_mm"":950.0,""status"":""secondary valid""}]"
24,2026-08-10T11:12:54.738,perf,runtime,,,,,,,,,,,,6.44,6.44,1.61,1.61,6.44,24.3,28.8,3,3.4,valid,2,0,True,25749,25752,0.574,1222,609,1221,608,639.0,216.7,1017.0,1017.0,,0,0,0.0,,,0,0,0.0,plastic bag:0.57;plastic bag:0.55;plastic bag:0.34,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.574,""qr"":"""",""valid"":true,""x_mm"":639.0,""y_mm"":216.7,""z_mm"":1017.0,""status"":""valid""},{""idx"":2,""label"":""plastic bag"",""conf"":0.554,""qr"":"""",""valid"":true,""x_mm"":-17.9,""y_mm"":214.4,""z_mm"":948.0,""status"":""secondary valid""},{""idx"":3,""label"":""plastic bag"",""conf"":0.343,""qr"":"""",""valid"":true,""x_mm"":-682.9,""y_mm"":144.0,""z_mm"":1062.0,""status"":""secondary valid""}]"
28,2026-08-10T11:12:55.267,perf,runtime,,,,,,,,,,,,7.56,7.56,0.0,0.0,7.56,23.6,19.6,3,532.4,valid,2,1,True,69866,70380,0.656,629,616,630,615,-15.8,213.0,951.0,951.0,,0,0,0.0,,,0,0,0.0,plastic bag:0.66;plastic bag:0.51;plastic bag:0.30,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.656,""qr"":"""",""valid"":true,""x_mm"":-15.8,""y_mm"":213.0,""z_mm"":951.0,""status"":""valid""},{""idx"":2,""label"":""plastic bag"",""conf"":0.515,""qr"":"""",""valid"":true,""x_mm"":637.2,""y_mm"":217.5,""z_mm"":1016.0,""status"":""secondary valid""},{""idx"":3,""label"":""plastic bag"",""conf"":0.303,""qr"":"""",""valid"":true,""x_mm"":-682.8,""y_mm"":144.9,""z_mm"":1060.0,""status"":""secondary valid""}]"
31,2026-08-10T11:12:55.795,perf,runtime,,,,,,,,,,,,5.69,5.69,1.9,1.9,5.69,23.0,17.5,3,397.6,valid,5,2,True,69874,70452,0.757,630,616,630,616,-15.8,213.5,951.0,951.0,,0,0,0.0,,,0,0,0.0,plastic bag:0.76;plastic bag:0.61;plastic bag:0.31,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.757,""qr"":"""",""valid"":true,""x_mm"":-15.8,""y_mm"":213.5,""z_mm"":951.0,""status"":""valid""},{""idx"":2,""label"":""plastic bag"",""conf"":0.607,""qr"":"""",""valid"":true,""x_mm"":638.2,""y_mm"":217.1,""z_mm"":1014.0,""status"":""secondary valid""},{""idx"":3,""label"":""plastic bag"",""conf"":0.313,""qr"":"""",""valid"":true,""x_mm"":-684.7,""y_mm"":145.3,""z_mm"":1063.0,""status"":""secondary valid""}]"
36,2026-08-10T11:12:56.440,perf,runtime,,,,,,,,,,,,7.74,7.74,1.55,1.55,7.74,19.8,18.1,1,342.5,valid,10,2,True,69828,70380,0.833,629,616,630,615,-15.9,213.7,952.0,952.0,,0,0,0.0,,,0,0,0.0,plastic bag:0.83,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.833,""qr"":"""",""valid"":true,""x_mm"":-15.9,""y_mm"":213.7,""z_mm"":952.0,""status"":""valid""}]"
40,2026-08-10T11:12:57.041,perf,runtime,,,,,,,,,,,,6.66,6.66,1.67,1.67,6.66,19.5,23.8,1,160.0,valid,14,2,True,69838,70452,0.801,629,616,630,616,-15.9,213.2,952.0,952.0,,0,0,0.0,,,0,0,0.0,plastic bag:0.80,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.801,""qr"":"""",""valid"":true,""x_mm"":-15.9,""y_mm"":213.2,""z_mm"":952.0,""status"":""valid""}]"
45,2026-08-10T11:12:57.580,perf,runtime,,,,,,,,,,,,9.28,9.28,1.86,1.86,9.28,19.1,18.3,3,112.8,valid,19,2,True,69582,70246,0.773,629,615,629,616,-15.8,212.3,946.0,946.0,,0,0,0.0,,,0,0,0.0,plastic bag:0.77;plastic bag:0.42;plastic bag:0.35,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.773,""qr"":"""",""valid"":true,""x_mm"":-15.8,""y_mm"":212.3,""z_mm"":946.0,""status"":""valid""},{""idx"":2,""label"":""plastic bag"",""conf"":0.421,""qr"":"""",""valid"":true,""x_mm"":620.5,""y_mm"":210.5,""z_mm"":1014.0,""status"":""secondary valid""},{""idx"":3,""label"":""plastic bag"",""conf"":0.346,""qr"":"""",""valid"":true,""x_mm"":-685.2,""y_mm"":146.3,""z_mm"":1062.0,""status"":""secondary valid""}]"
50,2026-08-10T11:12:58.099,perf,runtime,,,,,,,,,,,,9.62,9.62,1.92,1.92,9.62,19.5,19.6,3,64.3,valid,24,2,True,69590,70246,0.788,630,615,629,616,-15.6,211.6,940.5,940.5,,0,0,0.0,,,0,0,0.0,plastic bag:0.79;plastic bag:0.37;plastic bag:0.32,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.788,""qr"":"""",""valid"":true,""x_mm"":-15.6,""y_mm"":211.6,""z_mm"":940.5,""status"":""valid""},{""idx"":2,""label"":""plastic bag"",""conf"":0.37,""qr"":"""",""valid"":true,""x_mm"":625.4,""y_mm"":206.6,""z_mm"":1022.0,""status"":""secondary valid""},{""idx"":3,""label"":""plastic bag"",""conf"":0.317,""qr"":"""",""valid"":true,""x_mm"":-682.1,""y_mm"":154.0,""z_mm"":1059.0,""status"":""secondary valid""}]"
59,2026-08-10T11:12:58.658,perf,runtime,,,,,,,,,,,,16.12,16.12,3.58,3.58,16.12,19.1,17.6,3,5.9,valid,33,2,True,69024,69834,0.693,628,617,629,616,-16.1,211.6,940.5,940.5,,0,0,0.0,,,0,0,0.0,plastic bag:0.69;plastic bag:0.37;plastic bag:0.35,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.693,""qr"":"""",""valid"":true,""x_mm"":-16.1,""y_mm"":211.6,""z_mm"":940.5,""status"":""valid""},{""idx"":2,""label"":""plastic bag"",""conf"":0.373,""qr"":"""",""valid"":true,""x_mm"":612.8,""y_mm"":214.1,""z_mm"":1005.0,""status"":""secondary valid""},{""idx"":3,""label"":""plastic bag"",""conf"":0.355,""qr"":"""",""valid"":true,""x_mm"":-682.9,""y_mm"":147.5,""z_mm"":1062.0,""status"":""secondary valid""}]"
64,2026-08-10T11:12:59.238,perf,runtime,,,,,,,,,,,,8.61,10.34,1.72,0.0,8.61,19.5,27.5,1,586.3,valid,38,2,True,68706,69290,0.679,629,616,629,616,-16.2,211.8,941.5,941.5,,0,0,0.0,,,0,0,0.0,plastic bag:0.68,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.679,""qr"":"""",""valid"":true,""x_mm"":-16.2,""y_mm"":211.8,""z_mm"":941.5,""status"":""valid""}]"
75,2026-08-10T11:12:59.754,perf,runtime,,,,,,,,,,,,21.31,19.37,1.94,3.87,21.31,20.5,14.5,1,197.1,valid,49,2,True,68655,70173,0.814,629,615,629,615,-16.3,213.2,947.5,947.5,,0,0,0.0,,,0,0,0.0,plastic bag:0.81,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.814,""qr"":"""",""valid"":true,""x_mm"":-16.3,""y_mm"":213.2,""z_mm"":947.5,""status"":""valid""}]"
86,2026-08-10T11:13:00.268,perf,runtime,,,,,,,,,,,,21.39,23.34,3.89,1.94,21.39,20.9,22.1,2,361.5,valid,60,2,True,70546,71344,0.799,630,615,630,615,-15.8,212.6,949.5,949.5,,0,0,0.0,,,0,0,0.0,plastic bag:0.80;plastic bag:0.31,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.799,""qr"":"""",""valid"":true,""x_mm"":-15.8,""y_mm"":212.6,""z_mm"":949.5,""status"":""valid""},{""idx"":2,""label"":""plastic bag"",""conf"":0.308,""qr"":"""",""valid"":true,""x_mm"":-682.8,""y_mm"":155.3,""z_mm"":1060.0,""status"":""secondary valid""}]"
99,2026-08-10T11:13:00.775,perf,runtime,,,,,,,,,,,,23.69,23.69,1.97,3.95,23.69,21.6,21.1,3,114.6,valid,72,2,True,70210,71136,0.809,630,615,630,615,-15.7,210.4,942.0,942.0,,0,0,0.0,,,0,0,0.0,plastic bag:0.81;plastic bag:0.36;plastic bag:0.34,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.809,""qr"":"""",""valid"":true,""x_mm"":-15.7,""y_mm"":210.4,""z_mm"":942.0,""status"":""valid""},{""idx"":2,""label"":""plastic bag"",""conf"":0.359,""qr"":"""",""valid"":true,""x_mm"":621.5,""y_mm"":206.8,""z_mm"":1012.0,""status"":""secondary valid""},{""idx"":3,""label"":""plastic bag"",""conf"":0.337,""qr"":"""",""valid"":true,""x_mm"":-684.7,""y_mm"":146.5,""z_mm"":1063.0,""status"":""secondary valid""}]"
109,2026-08-10T11:13:01.288,perf,runtime,,,,,,,,,,,,19.5,21.45,1.95,1.95,19.5,21.7,30.1,2,188.7,valid,82,2,True,69835,70587,0.765,631,615,629,615,-15.7,210.9,942.0,942.0,,0,0,0.0,,,0,0,0.0,plastic bag:0.77;plastic bag:0.42,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.765,""qr"":"""",""valid"":true,""x_mm"":-15.7,""y_mm"":210.9,""z_mm"":942.0,""status"":""valid""},{""idx"":2,""label"":""plastic bag"",""conf"":0.423,""qr"":"""",""valid"":true,""x_mm"":-684.1,""y_mm"":153.3,""z_mm"":1062.0,""status"":""secondary valid""}]"
123,2026-08-10T11:13:01.802,perf,runtime,,,,,,,,,,,,21.37,25.26,1.94,1.94,21.37,21.3,15.1,2,298.5,valid,93,2,True,69836,70794,0.774,628,615,629,615,-15.6,210.7,941.0,941.0,,0,0,0.0,,,0,0,0.0,plastic bag:0.77;plastic bag:0.32,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.774,""qr"":"""",""valid"":true,""x_mm"":-15.6,""y_mm"":210.7,""z_mm"":941.0,""status"":""valid""},{""idx"":2,""label"":""plastic bag"",""conf"":0.324,""qr"":"""",""valid"":true,""x_mm"":-682.8,""y_mm"":153.0,""z_mm"":1060.0,""status"":""secondary valid""}]"
