frame,timestamp,type,label,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2,center_u,center_v,depth_mm,x_mm,y_mm,z_mm,display_fps,rgb_rx_fps,depth_msg_rx_fps,depth_rx_fps,detect_fps,infer_ms,last_infer_ms,det_count,depth_age_ms,grasp_status,stable_frames,grasp_sample_count,raw_depth_valid,roi_valid_count,roi_total_count,primary_conf,raw_center_u,raw_center_v,smooth_center_u,smooth_center_v,grasp_x_mm,grasp_y_mm,grasp_z_mm,grasp_depth_mm,qr_texts,qr_live_count,qr_memory_count,qr_decode_ms,qr_source,qr_scan_mode,qr_scan_rois,qr_busy,raw_rgb_age_ms,det_summary,object_results
1,2026-08-10T16:50:31.824,perf,runtime,,,,,,,,,,,,0.32,0.63,0.0,0.0,0.32,31.7,31.7,2,0.0,stabilizing 1/2,1,0,,,,0.793,569,599,569,599,,,,,,0,0,0.0,,,0,0,0.0,plastic bag:0.79;plastic bag:0.76,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.793,""qr"":"""",""valid"":false,""x_mm"":"""",""y_mm"":"""",""z_mm"":"""",""status"":""stabilizing 1/2""},{""idx"":2,""label"":""plastic bag"",""conf"":0.762,""qr"":"""",""valid"":false,""x_mm"":"""",""y_mm"":"""",""z_mm"":"""",""status"":""no depth""}]"
5,2026-08-10T16:50:32.774,perf,runtime,,,,,,,,,,,,4.21,3.16,1.05,1.05,4.21,10.4,5.0,2,668.1,stabilizing 1/2,1,0,,,,0.814,570,600,570,600,,,,,,0,0,0.0,,,0,0,0.0,plastic bag:0.81;plastic bag:0.76,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.814,""qr"":"""",""valid"":false,""x_mm"":"""",""y_mm"":"""",""z_mm"":"""",""status"":""stabilizing 1/2""},{""idx"":2,""label"":""plastic bag"",""conf"":0.764,""qr"":"""",""valid"":true,""x_mm"":-660.3,""y_mm"":114.9,""z_mm"":1082.0,""status"":""secondary valid""}]"
7,2026-08-10T16:50:33.691,perf,runtime,,,,,,,,,,,,2.18,2.18,1.09,1.09,2.18,9.0,6.2,2,103.3,valid,3,2,True,80044,84128,0.782,569,599,570,599,-78.3,191.9,954.5,954.5,,0,0,0.0,,,0,0,0.0,plastic bag:0.78;plastic bag:0.73,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.782,""qr"":"""",""valid"":true,""x_mm"":-78.3,""y_mm"":191.9,""z_mm"":954.5,""status"":""valid""},{""idx"":2,""label"":""plastic bag"",""conf"":0.728,""qr"":"""",""valid"":true,""x_mm"":-662.7,""y_mm"":121.0,""z_mm"":1084.0,""status"":""secondary valid""}]"
11,2026-08-10T16:50:34.306,perf,runtime,,,,,,,,,,,,6.5,6.5,1.63,1.63,6.5,7.7,5.5,2,258.1,valid,7,2,True,81030,84128,0.816,570,600,570,599,-78.3,191.8,954.0,954.0,,0,0,0.0,,,0,0,0.0,plastic bag:0.82;plastic bag:0.72,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.816,""qr"":"""",""valid"":true,""x_mm"":-78.3,""y_mm"":191.8,""z_mm"":954.0,""status"":""valid""},{""idx"":2,""label"":""plastic bag"",""conf"":0.716,""qr"":"""",""valid"":true,""x_mm"":-661.6,""y_mm"":113.9,""z_mm"":1084.0,""status"":""secondary valid""}]"
14,2026-08-10T16:50:34.809,perf,runtime,,,,,,,,,,,,5.97,5.97,1.99,1.99,5.97,7.1,5.1,2,209.5,valid,10,2,True,80608,84128,0.783,570,598,570,599,-78.4,192.1,955.5,955.5,,0,0,0.0,,,0,0,0.0,plastic bag:0.78;plastic bag:0.66,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.783,""qr"":"""",""valid"":true,""x_mm"":-78.4,""y_mm"":192.1,""z_mm"":955.5,""status"":""valid""},{""idx"":2,""label"":""plastic bag"",""conf"":0.665,""qr"":"""",""valid"":true,""x_mm"":-661.0,""y_mm"":117.4,""z_mm"":1083.0,""status"":""secondary valid""}]"
17,2026-08-10T16:50:35.463,perf,runtime,,,,,,,,,,,,4.58,4.58,1.53,1.53,4.58,6.7,5.0,2,418.4,valid,13,2,True,80982,84720,0.763,570,598,569,599,-78.7,192.5,957.5,957.5,,0,0,0.0,,,0,0,0.0,plastic bag:0.76;plastic bag:0.66,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.763,""qr"":"""",""valid"":true,""x_mm"":-78.7,""y_mm"":192.5,""z_mm"":957.5,""status"":""valid""},{""idx"":2,""label"":""plastic bag"",""conf"":0.656,""qr"":"""",""valid"":true,""x_mm"":-658.6,""y_mm"":113.8,""z_mm"":1083.0,""status"":""secondary valid""}]"
21,2026-08-10T16:50:36.064,perf,runtime,,,,,,,,,,,,6.66,6.66,1.67,1.67,6.66,6.4,4.5,2,427.7,valid,17,2,True,80690,84480,0.777,569,599,570,599,-78.6,191.8,956.5,956.5,,0,0,0.0,,,0,0,0.0,plastic bag:0.78;plastic bag:0.74,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.777,""qr"":"""",""valid"":true,""x_mm"":-78.6,""y_mm"":191.8,""z_mm"":956.5,""status"":""valid""},{""idx"":2,""label"":""plastic bag"",""conf"":0.737,""qr"":"""",""valid"":true,""x_mm"":-663.4,""y_mm"":113.3,""z_mm"":1089.0,""status"":""secondary valid""}]"
24,2026-08-10T16:50:36.620,perf,runtime,,,,,,,,,,,,5.4,5.4,1.8,1.8,5.4,6.3,6.7,2,452.2,valid,20,2,True,80296,84128,0.777,569,599,570,599,-78.4,191.5,955.0,955.0,,0,0,0.0,,,0,0,0.0,plastic bag:0.78;plastic bag:0.67,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.777,""qr"":"""",""valid"":true,""x_mm"":-78.4,""y_mm"":191.5,""z_mm"":955.0,""status"":""valid""},{""idx"":2,""label"":""plastic bag"",""conf"":0.667,""qr"":"""",""valid"":true,""x_mm"":-662.1,""y_mm"":114.8,""z_mm"":1081.0,""status"":""secondary valid""}]"
28,2026-08-10T16:50:37.148,perf,runtime,,,,,,,,,,,,7.56,7.56,1.89,1.89,7.56,6.2,5.3,2,129.5,valid,24,2,True,81335,84845,0.776,570,599,569,599,-78.3,191.8,954.0,954.0,,0,0,0.0,,,0,0,0.0,plastic bag:0.78;plastic bag:0.72,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.776,""qr"":"""",""valid"":true,""x_mm"":-78.3,""y_mm"":191.8,""z_mm"":954.0,""status"":""valid""},{""idx"":2,""label"":""plastic bag"",""conf"":0.716,""qr"":"""",""valid"":true,""x_mm"":-659.8,""y_mm"":111.5,""z_mm"":1083.0,""status"":""secondary valid""}]"
31,2026-08-10T16:50:37.756,perf,runtime,,,,,,,,,,,,4.94,4.94,0.0,0.0,4.94,5.3,5.1,2,737.4,stabilizing 1/2,1,0,,,,0.764,569,599,569,599,,,,,,0,0,0.0,,,0,0,0.0,plastic bag:0.76;plastic bag:0.70,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.764,""qr"":"""",""valid"":false,""x_mm"":"""",""y_mm"":"""",""z_mm"":"""",""status"":""stabilizing 1/2""},{""idx"":2,""label"":""plastic bag"",""conf"":0.7,""qr"":"""",""valid"":true,""x_mm"":-659.2,""y_mm"":119.6,""z_mm"":1082.0,""status"":""secondary valid""}]"
34,2026-08-10T16:50:38.260,perf,runtime,,,,,,,,,,,,5.96,5.96,1.99,1.99,5.96,5.3,6.7,2,362.9,valid,4,1,True,82022,85920,0.775,570,599,570,599,-78.3,190.8,954.0,954.0,,0,0,0.0,,,0,0,0.0,plastic bag:0.77;plastic bag:0.72,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.775,""qr"":"""",""valid"":true,""x_mm"":-78.3,""y_mm"":190.8,""z_mm"":954.0,""status"":""valid""},{""idx"":2,""label"":""plastic bag"",""conf"":0.715,""qr"":"""",""valid"":true,""x_mm"":-660.4,""y_mm"":114.1,""z_mm"":1086.0,""status"":""secondary valid""}]"
36,2026-08-10T16:50:38.788,perf,runtime,,,,,,,,,,,,3.78,3.78,0.0,0.0,3.78,5.4,4.5,2,891.6,valid,6,1,True,81903,85801,0.79,568,600,569,599,-78.3,191.8,954.0,954.0,,0,0,0.0,,,0,0,0.0,plastic bag:0.79;plastic bag:0.76,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.79,""qr"":"""",""valid"":true,""x_mm"":-78.3,""y_mm"":191.8,""z_mm"":954.0,""status"":""valid""},{""idx"":2,""label"":""plastic bag"",""conf"":0.755,""qr"":"""",""valid"":true,""x_mm"":-661.6,""y_mm"":117.5,""z_mm"":1084.0,""status"":""secondary valid""}]"
40,2026-08-10T16:50:39.375,perf,runtime,,,,,,,,,,,,6.81,6.81,1.7,1.7,6.81,5.5,5.1,2,321.0,valid,10,2,True,82211,85323,0.798,571,599,569,599,-78.7,190.9,952.0,952.0,,0,0,0.0,,,0,0,0.0,plastic bag:0.80;plastic bag:0.73,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.798,""qr"":"""",""valid"":true,""x_mm"":-78.7,""y_mm"":190.9,""z_mm"":952.0,""status"":""valid""},{""idx"":2,""label"":""plastic bag"",""conf"":0.728,""qr"":"""",""valid"":true,""x_mm"":-660.4,""y_mm"":115.1,""z_mm"":1084.0,""status"":""secondary valid""}]"
