frame,timestamp,type,label,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2,center_u,center_v,depth_mm,x_mm,y_mm,z_mm,display_fps,rgb_rx_fps,depth_msg_rx_fps,depth_rx_fps,detect_fps,infer_ms,last_infer_ms,det_count,depth_age_ms,grasp_status,stable_frames,grasp_sample_count,raw_depth_valid,roi_valid_count,roi_total_count,primary_conf,raw_center_u,raw_center_v,smooth_center_u,smooth_center_v,grasp_x_mm,grasp_y_mm,grasp_z_mm,grasp_depth_mm,qr_texts,qr_live_count,qr_memory_count,qr_decode_ms,qr_source,qr_scan_mode,qr_scan_rois,qr_busy,raw_rgb_age_ms,det_summary,object_results
1,2026-08-10T15:54:07.860,perf,runtime,,,,,,,,,,,,1.03,2.07,0.0,0.0,1.03,34.1,34.1,2,0.0,stabilizing 1/2,1,0,,,,0.653,683,506,683,506,,,,,,0,0,0.0,,,0,0,0.0,plastic bag:0.65;plastic bag:0.42,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.653,""qr"":"""",""valid"":false,""x_mm"":"""",""y_mm"":"""",""z_mm"":"""",""status"":""stabilizing 1/2""},{""idx"":2,""label"":""plastic bag"",""conf"":0.422,""qr"":"""",""valid"":false,""x_mm"":"""",""y_mm"":"""",""z_mm"":"""",""status"":""no depth""}]"
9,2026-08-10T15:54:08.389,perf,runtime,,,,,,,,,,,,15.12,13.23,0.0,0.0,15.12,8.3,5.0,2,0.0,no depth,9,0,,,,0.739,676,503,679,503,,,,,,0,0,0.0,,,0,0,0.0,plastic bag:0.74;plastic bag:0.42,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.739,""qr"":"""",""valid"":false,""x_mm"":"""",""y_mm"":"""",""z_mm"":"""",""status"":""no depth""},{""idx"":2,""label"":""plastic bag"",""conf"":0.421,""qr"":"""",""valid"":false,""x_mm"":"""",""y_mm"":"""",""z_mm"":"""",""status"":""no depth""}]"
18,2026-08-10T15:54:08.901,perf,runtime,,,,,,,,,,,,17.57,17.57,1.95,1.95,17.57,6.9,4.4,2,42.8,valid,18,1,True,52410,53390,0.633,681,505,680,504,38.2,105.9,1008.0,1008.0,,0,0,0.0,,,0,0,0.0,plastic bag:0.63;plastic bag:0.53,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.633,""qr"":"""",""valid"":true,""x_mm"":38.2,""y_mm"":105.9,""z_mm"":1008.0,""status"":""valid""},{""idx"":2,""label"":""plastic bag"",""conf"":0.533,""qr"":"""",""valid"":true,""x_mm"":-159.8,""y_mm"":200.9,""z_mm"":943.0,""status"":""secondary valid""}]"
26,2026-08-10T15:54:09.432,perf,runtime,,,,,,,,,,,,15.08,15.08,0.0,0.0,15.08,6.5,4.9,2,573.4,valid,26,1,True,51662,52640,0.559,682,505,680,504,38.2,107.0,1008.0,1008.0,,0,0,0.0,,,0,0,0.0,plastic bag:0.56;plastic bag:0.40,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.559,""qr"":"""",""valid"":true,""x_mm"":38.2,""y_mm"":107.0,""z_mm"":1008.0,""status"":""valid""},{""idx"":2,""label"":""plastic bag"",""conf"":0.398,""qr"":"""",""valid"":true,""x_mm"":-160.1,""y_mm"":198.2,""z_mm"":945.0,""status"":""secondary valid""}]"
35,2026-08-10T15:54:10.358,perf,runtime,,,,,,,,,,,,9.72,12.96,1.08,1.08,9.72,5.7,15.3,2,357.4,valid,35,2,True,52038,52920,0.738,678,503,680,503,38.2,105.8,1007.5,1007.5,,0,0,0.0,,,0,0,0.0,plastic bag:0.74;plastic bag:0.35,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.738,""qr"":"""",""valid"":true,""x_mm"":38.2,""y_mm"":105.8,""z_mm"":1007.5,""status"":""valid""},{""idx"":2,""label"":""plastic bag"",""conf"":0.354,""qr"":"""",""valid"":true,""x_mm"":-159.1,""y_mm"":198.0,""z_mm"":939.0,""status"":""secondary valid""}]"
50,2026-08-10T15:54:10.888,perf,runtime,,,,,,,,,,,,20.76,22.65,1.89,1.89,20.76,5.9,5.6,2,178.9,valid,46,2,True,52487,53298,0.61,681,504,680,503,38.2,105.8,1007.0,1007.0,,0,0,0.0,,,0,0,0.0,plastic bag:0.61;plastic bag:0.44,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.61,""qr"":"""",""valid"":true,""x_mm"":38.2,""y_mm"":105.8,""z_mm"":1007.0,""status"":""valid""},{""idx"":2,""label"":""plastic bag"",""conf"":0.435,""qr"":"""",""valid"":true,""x_mm"":-159.4,""y_mm"":199.4,""z_mm"":941.0,""status"":""secondary valid""}]"
58,2026-08-10T15:54:11.543,perf,runtime,,,,,,,,,,,,12.2,16.77,1.52,1.52,12.2,5.9,4.8,2,230.1,valid,54,2,True,51732,52640,0.639,681,503,680,503,38.2,105.8,1007.5,1007.5,,0,0,0.0,,,0,0,0.0,plastic bag:0.64;plastic bag:0.51,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.639,""qr"":"""",""valid"":true,""x_mm"":38.2,""y_mm"":105.8,""z_mm"":1007.5,""status"":""valid""},{""idx"":2,""label"":""plastic bag"",""conf"":0.507,""qr"":"""",""valid"":true,""x_mm"":-159.4,""y_mm"":202.5,""z_mm"":941.0,""status"":""secondary valid""}]"
67,2026-08-10T15:54:12.121,perf,runtime,,,,,,,,,,,,12.13,10.4,1.73,1.73,12.13,5.9,7.1,1,239.5,valid,61,2,True,52164,53016,0.598,680,505,681,504,39.4,106.0,1008.5,1008.5,,0,0,0.0,,,0,0,0.0,plastic bag:0.60,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.598,""qr"":"""",""valid"":true,""x_mm"":39.4,""y_mm"":106.0,""z_mm"":1008.5,""status"":""valid""}]"
74,2026-08-10T15:54:12.632,perf,runtime,,,,,,,,,,,,13.7,13.7,1.96,1.96,13.7,5.6,5.5,2,172.8,valid,68,2,True,51538,52360,0.648,683,503,681,503,39.4,106.5,1008.0,1008.0,,0,0,0.0,,,0,0,0.0,plastic bag:0.65;plastic bag:0.43,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.648,""qr"":"""",""valid"":true,""x_mm"":39.4,""y_mm"":106.5,""z_mm"":1008.0,""status"":""valid""},{""idx"":2,""label"":""plastic bag"",""conf"":0.433,""qr"":"""",""valid"":true,""x_mm"":-160.6,""y_mm"":194.7,""z_mm"":948.0,""status"":""secondary valid""}]"
78,2026-08-10T15:54:13.220,perf,runtime,,,,,,,,,,,,6.8,6.8,0.0,0.0,6.8,5.4,6.4,2,761.1,valid,72,2,True,52006,52828,0.58,684,503,681,504,39.4,106.5,1008.0,1008.0,,0,0,0.0,,,0,0,0.0,plastic bag:0.58;plastic bag:0.42,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.58,""qr"":"""",""valid"":true,""x_mm"":39.4,""y_mm"":106.5,""z_mm"":1008.0,""status"":""valid""},{""idx"":2,""label"":""plastic bag"",""conf"":0.421,""qr"":"""",""valid"":true,""x_mm"":-159.6,""y_mm"":198.6,""z_mm"":942.0,""status"":""secondary valid""}]"
85,2026-08-10T15:54:13.794,perf,runtime,,,,,,,,,,,,12.19,12.19,1.74,1.74,12.19,5.3,4.3,1,335.8,valid,79,2,True,51571,52452,0.516,680,501,680,503,38.8,106.3,1007.0,1007.0,,0,0,0.0,,,0,0,0.0,plastic bag:0.52,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.516,""qr"":"""",""valid"":true,""x_mm"":38.8,""y_mm"":106.3,""z_mm"":1007.0,""status"":""valid""}]"
91,2026-08-10T15:54:14.308,perf,runtime,,,,,,,,,,,,11.68,11.68,1.95,1.95,11.68,5.3,4.5,2,292.2,valid,84,2,True,51498,52360,0.721,680,503,680,503,39.3,105.8,1007.5,1007.5,,0,0,0.0,,,0,0,0.0,plastic bag:0.72;plastic bag:0.41,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.721,""qr"":"""",""valid"":true,""x_mm"":39.3,""y_mm"":105.8,""z_mm"":1007.5,""status"":""valid""},{""idx"":2,""label"":""plastic bag"",""conf"":0.407,""qr"":"""",""valid"":true,""x_mm"":-161.5,""y_mm"":200.5,""z_mm"":941.0,""status"":""secondary valid""}]"
96,2026-08-10T15:54:14.856,perf,runtime,,,,,,,,,,,,5.47,10.94,0.0,0.0,5.47,5.3,5.0,2,840.8,valid,87,2,True,51864,52734,0.648,682,503,680,503,39.3,105.8,1007.5,1007.5,,0,0,0.0,,,0,0,0.0,plastic bag:0.65;plastic bag:0.48,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.648,""qr"":"""",""valid"":true,""x_mm"":39.3,""y_mm"":105.8,""z_mm"":1007.5,""status"":""valid""},{""idx"":2,""label"":""plastic bag"",""conf"":0.484,""qr"":"""",""valid"":true,""x_mm"":-158.6,""y_mm"":198.6,""z_mm"":942.0,""status"":""secondary valid""}]"
103,2026-08-10T15:54:15.470,perf,runtime,,,,,,,,,,,,9.77,9.77,1.63,1.63,9.77,5.3,5.2,2,508.3,valid,93,2,True,52328,53204,0.601,680,506,679,504,38.8,105.9,1008.0,1008.0,,0,0,0.0,,,0,0,0.0,plastic bag:0.60;plastic bag:0.47,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.601,""qr"":"""",""valid"":true,""x_mm"":38.8,""y_mm"":105.9,""z_mm"":1008.0,""status"":""valid""},{""idx"":2,""label"":""plastic bag"",""conf"":0.47,""qr"":"""",""valid"":true,""x_mm"":-158.8,""y_mm"":199.6,""z_mm"":937.0,""status"":""secondary valid""}]"
109,2026-08-10T15:54:16.269,perf,runtime,,,,,,,,,,,,7.51,7.51,1.25,1.25,7.51,5.2,4.5,2,750.4,valid,99,2,True,52019,52828,0.699,678,503,679,504,37.7,106.0,1009.0,1009.0,,0,0,0.0,,,0,0,0.0,plastic bag:0.70;plastic bag:0.33,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.699,""qr"":"""",""valid"":true,""x_mm"":37.7,""y_mm"":106.0,""z_mm"":1009.0,""status"":""valid""},{""idx"":2,""label"":""plastic bag"",""conf"":0.335,""qr"":"""",""valid"":true,""x_mm"":-160.6,""y_mm"":199.6,""z_mm"":942.0,""status"":""secondary valid""}]"
