frame,timestamp,type,label,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2,center_u,center_v,depth_mm,x_mm,y_mm,z_mm,display_fps,rgb_rx_fps,depth_msg_rx_fps,depth_rx_fps,detect_fps,infer_ms,last_infer_ms,det_count,depth_age_ms,grasp_status,stable_frames,grasp_sample_count,raw_depth_valid,roi_valid_count,roi_total_count,primary_conf,raw_center_u,raw_center_v,smooth_center_u,smooth_center_v,grasp_x_mm,grasp_y_mm,grasp_z_mm,grasp_depth_mm,qr_texts,qr_live_count,qr_memory_count,qr_decode_ms,qr_source,qr_scan_mode,qr_scan_rois,qr_busy,raw_rgb_age_ms,det_summary,object_results
1,2026-08-10T09:38:59.707,perf,runtime,,,,,,,,,,,,0.85,1.7,0.0,0.0,0.85,79.5,79.5,1,0.0,stabilizing 1/2,1,0,,,,0.865,631,557,631,557,,,,,,0,0,0.0,,,0,0,0.0,plastic bag:0.86,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.865,""qr"":"""",""valid"":false,""x_mm"":"""",""y_mm"":"""",""z_mm"":"""",""status"":""stabilizing 1/2""}]"
7,2026-08-10T09:39:00.222,perf,runtime,,,,,,,,,,,,11.65,9.71,0.0,0.0,11.65,22.1,13.4,1,0.0,no depth,7,0,,,,0.866,632,558,631,557,,,,,,0,0,0.0,,,0,0,0.0,plastic bag:0.87,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.866,""qr"":"""",""valid"":false,""x_mm"":"""",""y_mm"":"""",""z_mm"":"""",""status"":""no depth""}]"
13,2026-08-10T09:39:00.730,perf,runtime,,,,,,,,,,,,11.82,11.82,0.0,0.0,11.82,16.9,10.8,1,0.0,no depth,13,0,,,,0.861,631,557,631,557,,,,,,0,0,0.0,,,0,0,0.0,plastic bag:0.86,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.861,""qr"":"""",""valid"":false,""x_mm"":"""",""y_mm"":"""",""z_mm"":"""",""status"":""no depth""}]"
19,2026-08-10T09:39:01.304,perf,runtime,,,,,,,,,,,,10.44,10.44,0.0,0.0,10.44,14.9,8.9,1,0.0,no depth,19,0,,,,0.863,630,555,631,556,,,,,,0,0,0.0,,,0,0,0.0,plastic bag:0.86,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.863,""qr"":"""",""valid"":false,""x_mm"":"""",""y_mm"":"""",""z_mm"":"""",""status"":""no depth""}]"
28,2026-08-10T09:39:01.832,perf,runtime,,,,,,,,,,,,17.05,18.94,1.89,1.89,17.05,14.1,11.9,1,221.5,valid,28,1,True,66766,68234,0.876,632,557,631,557,-14.9,163.6,1032.0,1032.0,,0,0,0.0,,,0,0,0.0,plastic bag:0.88,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.876,""qr"":"""",""valid"":true,""x_mm"":-14.9,""y_mm"":163.6,""z_mm"":1032.0,""status"":""valid""}]"
44,2026-08-10T09:39:02.613,perf,runtime,,,,,,,,,,,,19.22,24.35,1.28,1.28,19.22,12.9,26.3,1,83.3,valid,43,2,True,66234,68138,0.871,631,557,632,557,-14.9,163.1,1032.5,1032.5,,0,0,0.0,,,0,0,0.0,plastic bag:0.87,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.871,""qr"":"""",""valid"":true,""x_mm"":-14.9,""y_mm"":163.1,""z_mm"":1032.5,""status"":""valid""}]"
61,2026-08-10T09:39:03.131,perf,runtime,,,,,,,,,,,,25.07,25.07,1.93,1.93,25.07,13.0,7.5,1,108.9,valid,56,2,True,67140,68452,0.851,632,557,632,557,-14.9,163.2,1029.5,1029.5,,0,0,0.0,,,0,0,0.0,plastic bag:0.85,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.851,""qr"":"""",""valid"":true,""x_mm"":-14.9,""y_mm"":163.2,""z_mm"":1029.5,""status"":""valid""}]"
71,2026-08-10T09:39:03.663,perf,runtime,,,,,,,,,,,,16.92,18.8,1.88,1.88,16.92,12.6,15.9,1,169.9,valid,65,2,True,66311,67921,0.856,631,557,631,557,-14.9,162.9,1028.0,1028.0,,0,0,0.0,,,0,0,0.0,plastic bag:0.86,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.856,""qr"":"""",""valid"":true,""x_mm"":-14.9,""y_mm"":162.9,""z_mm"":1028.0,""status"":""valid""}]"
82,2026-08-10T09:39:04.179,perf,runtime,,,,,,,,,,,,21.32,21.32,1.94,1.94,21.32,12.7,9.4,1,249.0,valid,76,2,True,66705,68547,0.874,632,556,631,556,-14.9,162.4,1028.5,1028.5,,0,0,0.0,,,0,0,0.0,plastic bag:0.87,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.874,""qr"":"""",""valid"":true,""x_mm"":-14.9,""y_mm"":162.4,""z_mm"":1028.5,""status"":""valid""}]"
93,2026-08-10T09:39:04.784,perf,runtime,,,,,,,,,,,,16.53,18.18,3.31,3.31,16.53,13.4,10.4,1,197.5,valid,86,2,True,66861,68985,0.859,631,556,631,556,-14.9,161.4,1029.0,1029.0,,0,0,0.0,,,0,0,0.0,plastic bag:0.86,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.859,""qr"":"""",""valid"":true,""x_mm"":-14.9,""y_mm"":161.4,""z_mm"":1029.0,""status"":""valid""}]"
100,2026-08-10T09:39:05.356,perf,runtime,,,,,,,,,,,,12.23,12.23,3.49,3.49,12.23,14.0,22.3,1,163.5,valid,93,2,True,66138,68234,0.868,631,557,631,557,-14.9,162.3,1031.0,1031.0,,0,0,0.0,,,0,0,0.0,plastic bag:0.87,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.868,""qr"":"""",""valid"":true,""x_mm"":-14.9,""y_mm"":162.3,""z_mm"":1031.0,""status"":""valid""}]"
108,2026-08-10T09:39:05.925,perf,runtime,,,,,,,,,,,,14.07,14.07,3.52,3.52,14.07,14.7,11.6,1,141.8,valid,101,2,True,66508,68766,0.868,632,556,632,557,-14.9,162.6,1025.5,1025.5,,0,0,0.0,,,0,0,0.0,plastic bag:0.87,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.868,""qr"":"""",""valid"":true,""x_mm"":-14.9,""y_mm"":162.6,""z_mm"":1025.5,""status"":""valid""}]"
116,2026-08-10T09:39:06.468,perf,runtime,,,,,,,,,,,,14.74,14.74,3.68,3.68,14.74,14.5,10.8,1,79.0,valid,109,2,True,66694,68234,0.875,631,557,631,557,-14.9,162.8,1027.5,1027.5,,0,0,0.0,,,0,0,0.0,plastic bag:0.87,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.875,""qr"":"""",""valid"":true,""x_mm"":-14.9,""y_mm"":162.8,""z_mm"":1027.5,""status"":""valid""}]"
124,2026-08-10T09:39:06.982,perf,runtime,,,,,,,,,,,,15.54,17.48,3.88,3.88,15.54,14.6,17.9,1,13.4,valid,117,2,True,66514,68234,0.865,632,558,631,557,-15.5,163.9,1034.0,1034.0,,0,0,0.0,,,0,0,0.0,plastic bag:0.86,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.865,""qr"":"""",""valid"":true,""x_mm"":-15.5,""y_mm"":163.9,""z_mm"":1034.0,""status"":""valid""}]"
132,2026-08-10T09:39:07.611,perf,runtime,,,,,,,,,,,,12.72,14.31,1.59,1.59,12.72,14.6,18.9,1,401.3,valid,125,2,True,67587,68985,0.846,631,556,631,556,-14.9,162.4,1024.5,1024.5,,0,0,0.0,,,0,0,0.0,plastic bag:0.85,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.846,""qr"":"""",""valid"":true,""x_mm"":-14.9,""y_mm"":162.4,""z_mm"":1024.5,""status"":""valid""}]"
142,2026-08-10T09:39:08.207,perf,runtime,,,,,,,,,,,,15.11,13.43,5.04,5.04,15.11,16.0,19.1,1,75.0,valid,134,2,True,66472,68452,0.87,632,557,632,557,-14.9,162.8,1030.5,1030.5,,0,0,0.0,,,0,0,0.0,plastic bag:0.87,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.87,""qr"":"""",""valid"":true,""x_mm"":-14.9,""y_mm"":162.8,""z_mm"":1030.5,""status"":""valid""}]"
150,2026-08-10T09:39:08.732,perf,runtime,,,,,,,,,,,,15.24,15.24,3.81,3.81,15.24,16.5,12.4,1,78.4,valid,142,2,True,65200,68452,0.882,632,558,632,557,-14.9,162.3,1027.5,1027.5,,0,0,0.0,,,0,0,0.0,plastic bag:0.88,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.882,""qr"":"""",""valid"":true,""x_mm"":-14.9,""y_mm"":162.3,""z_mm"":1027.5,""status"":""valid""}]"
157,2026-08-10T09:39:09.281,perf,runtime,,,,,,,,,,,,12.74,12.74,3.64,3.64,12.74,16.1,12.1,1,85.0,valid,149,2,True,67307,68547,0.85,630,557,631,556,-14.9,162.6,1029.0,1029.0,,0,0,0.0,,,0,0,0.0,plastic bag:0.85,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.85,""qr"":"""",""valid"":true,""x_mm"":-14.9,""y_mm"":162.6,""z_mm"":1029.0,""status"":""valid""}]"
163,2026-08-10T09:39:09.973,perf,runtime,,,,,,,,,,,,8.68,8.68,2.89,2.89,8.68,16.8,13.9,1,317.2,valid,155,2,True,66748,68234,0.856,631,555,631,556,-14.9,162.1,1026.0,1026.0,,0,0,0.0,,,0,0,0.0,plastic bag:0.86,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.856,""qr"":"""",""valid"":true,""x_mm"":-14.9,""y_mm"":162.1,""z_mm"":1026.0,""status"":""valid""}]"
169,2026-08-10T09:39:10.490,perf,runtime,,,,,,,,,,,,11.6,11.6,3.87,3.87,11.6,15.2,13.5,1,14.3,valid,161,2,True,66770,68452,0.872,632,556,632,557,-14.9,162.7,1030.0,1030.0,,0,0,0.0,,,0,0,0.0,plastic bag:0.87,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.872,""qr"":"""",""valid"":true,""x_mm"":-14.9,""y_mm"":162.7,""z_mm"":1030.0,""status"":""valid""}]"
