frame,timestamp,type,label,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2,center_u,center_v,depth_mm,x_mm,y_mm,z_mm,display_fps,rgb_rx_fps,depth_msg_rx_fps,depth_rx_fps,detect_fps,infer_ms,last_infer_ms,det_count,depth_age_ms,grasp_status,stable_frames,grasp_sample_count,raw_depth_valid,roi_valid_count,roi_total_count,primary_conf,raw_center_u,raw_center_v,smooth_center_u,smooth_center_v,grasp_x_mm,grasp_y_mm,grasp_z_mm,grasp_depth_mm,qr_texts,qr_live_count,qr_memory_count,qr_decode_ms,qr_source,qr_scan_mode,qr_scan_rois,qr_busy,raw_rgb_age_ms,det_summary,object_results
1,2026-08-10T15:45:54.037,perf,runtime,,,,,,,,,,,,0.23,0.23,0.0,0.0,0.23,53.6,53.6,3,0.0,stabilizing 1/2,1,0,,,,0.855,605,543,605,543,,,,,,0,0,0.0,,,0,0,0.0,plastic bag:0.85;plastic bag:0.79;plastic bag:0.63,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.855,""qr"":"""",""valid"":false,""x_mm"":"""",""y_mm"":"""",""z_mm"":"""",""status"":""stabilizing 1/2""},{""idx"":2,""label"":""plastic bag"",""conf"":0.793,""qr"":"""",""valid"":false,""x_mm"":"""",""y_mm"":"""",""z_mm"":"""",""status"":""no depth""},{""idx"":3,""label"":""plastic bag"",""conf"":0.635,""qr"":"""",""valid"":false,""x_mm"":"""",""y_mm"":"""",""z_mm"":"""",""status"":""no depth""}]"
4,2026-08-10T15:45:54.547,perf,runtime,,,,,,,,,,,,5.88,5.88,0.0,0.0,5.88,22.2,11.2,3,0.0,no depth,4,0,,,,0.849,606,542,605,543,,,,,,0,0,0.0,,,0,0,0.0,plastic bag:0.85;plastic bag:0.75;plastic bag:0.64,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.849,""qr"":"""",""valid"":false,""x_mm"":"""",""y_mm"":"""",""z_mm"":"""",""status"":""no depth""},{""idx"":2,""label"":""plastic bag"",""conf"":0.752,""qr"":"""",""valid"":false,""x_mm"":"""",""y_mm"":"""",""z_mm"":"""",""status"":""no depth""},{""idx"":3,""label"":""plastic bag"",""conf"":0.641,""qr"":"""",""valid"":false,""x_mm"":"""",""y_mm"":"""",""z_mm"":"""",""status"":""no depth""}]"
8,2026-08-10T15:45:55.105,perf,runtime,,,,,,,,,,,,7.16,7.16,1.79,1.79,7.16,16.6,9.1,3,359.9,valid,8,1,True,61900,63176,0.843,607,541,606,543,-43.5,146.7,1016.0,1016.0,,0,0,0.0,,,0,0,0.0,plastic bag:0.84;plastic bag:0.78;plastic bag:0.65,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.843,""qr"":"""",""valid"":true,""x_mm"":-43.5,""y_mm"":146.7,""z_mm"":1016.0,""status"":""valid""},{""idx"":2,""label"":""plastic bag"",""conf"":0.781,""qr"":"""",""valid"":true,""x_mm"":133.1,""y_mm"":227.6,""z_mm"":926.0,""status"":""secondary valid""},{""idx"":3,""label"":""plastic bag"",""conf"":0.653,""qr"":"""",""valid"":true,""x_mm"":158.3,""y_mm"":51.4,""z_mm"":1061.0,""status"":""secondary valid""}]"
12,2026-08-10T15:45:55.706,perf,runtime,,,,,,,,,,,,6.67,6.67,1.67,1.67,6.67,13.7,5.5,3,216.1,valid,12,2,True,61385,62878,0.864,606,544,606,543,-43.5,146.6,1015.5,1015.5,,0,0,0.0,,,0,0,0.0,plastic bag:0.86;plastic bag:0.75;plastic bag:0.54,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.864,""qr"":"""",""valid"":true,""x_mm"":-43.5,""y_mm"":146.6,""z_mm"":1015.5,""status"":""valid""},{""idx"":2,""label"":""plastic bag"",""conf"":0.754,""qr"":"""",""valid"":true,""x_mm"":132.4,""y_mm"":227.0,""z_mm"":928.0,""status"":""secondary valid""},{""idx"":3,""label"":""plastic bag"",""conf"":0.544,""qr"":"""",""valid"":true,""x_mm"":159.0,""y_mm"":52.4,""z_mm"":1058.0,""status"":""secondary valid""}]"
17,2026-08-10T15:45:56.238,perf,runtime,,,,,,,,,,,,9.38,9.38,0.0,0.0,9.38,11.3,5.5,3,749.0,valid,17,2,True,61467,62964,0.855,606,542,606,543,-43.5,146.6,1015.5,1015.5,,0,0,0.0,,,0,0,0.0,plastic bag:0.85;plastic bag:0.72;plastic bag:0.61,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.855,""qr"":"""",""valid"":true,""x_mm"":-43.5,""y_mm"":146.6,""z_mm"":1015.5,""status"":""valid""},{""idx"":2,""label"":""plastic bag"",""conf"":0.721,""qr"":"""",""valid"":true,""x_mm"":134.3,""y_mm"":226.8,""z_mm"":927.0,""status"":""secondary valid""},{""idx"":3,""label"":""plastic bag"",""conf"":0.614,""qr"":"""",""valid"":true,""x_mm"":161.5,""y_mm"":51.3,""z_mm"":1059.0,""status"":""secondary valid""}]"
20,2026-08-10T15:45:56.739,perf,runtime,,,,,,,,,,,,5.99,5.99,2.0,2.0,5.99,10.5,7.5,3,372.6,valid,20,2,True,61697,62667,0.857,607,543,606,543,-43.5,145.9,1015.0,1015.0,,0,0,0.0,,,0,0,0.0,plastic bag:0.86;plastic bag:0.80;plastic bag:0.68,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.857,""qr"":"""",""valid"":true,""x_mm"":-43.5,""y_mm"":145.9,""z_mm"":1015.0,""status"":""valid""},{""idx"":2,""label"":""plastic bag"",""conf"":0.797,""qr"":"""",""valid"":true,""x_mm"":133.0,""y_mm"":226.3,""z_mm"":925.0,""status"":""secondary valid""},{""idx"":3,""label"":""plastic bag"",""conf"":0.678,""qr"":"""",""valid"":true,""x_mm"":162.7,""y_mm"":53.6,""z_mm"":1059.0,""status"":""secondary valid""}]"
24,2026-08-10T15:45:57.281,perf,runtime,,,,,,,,,,,,7.38,7.38,0.0,0.0,7.38,9.8,4.5,3,914.6,valid,24,2,True,61990,62964,0.867,607,543,606,543,-43.5,145.9,1015.0,1015.0,,0,0,0.0,,,0,0,0.0,plastic bag:0.87;plastic bag:0.79;plastic bag:0.70,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.867,""qr"":"""",""valid"":true,""x_mm"":-43.5,""y_mm"":145.9,""z_mm"":1015.0,""status"":""valid""},{""idx"":2,""label"":""plastic bag"",""conf"":0.791,""qr"":"""",""valid"":true,""x_mm"":134.0,""y_mm"":226.3,""z_mm"":925.0,""status"":""secondary valid""},{""idx"":3,""label"":""plastic bag"",""conf"":0.699,""qr"":"""",""valid"":true,""x_mm"":162.7,""y_mm"":53.6,""z_mm"":1059.0,""status"":""secondary valid""}]"
28,2026-08-10T15:45:57.786,perf,runtime,,,,,,,,,,,,7.92,7.92,1.98,1.98,7.92,9.2,5.6,3,337.1,valid,28,2,True,59538,62160,0.859,606,544,606,543,-43.5,146.1,1015.5,1015.5,,0,0,0.0,,,0,0,0.0,plastic bag:0.86;plastic bag:0.77;plastic bag:0.61,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.859,""qr"":"""",""valid"":true,""x_mm"":-43.5,""y_mm"":146.1,""z_mm"":1015.5,""status"":""valid""},{""idx"":2,""label"":""plastic bag"",""conf"":0.773,""qr"":"""",""valid"":true,""x_mm"":132.3,""y_mm"":227.8,""z_mm"":927.0,""status"":""secondary valid""},{""idx"":3,""label"":""plastic bag"",""conf"":0.609,""qr"":"""",""valid"":true,""x_mm"":160.0,""y_mm"":52.3,""z_mm"":1057.0,""status"":""secondary valid""}]"
33,2026-08-10T15:45:58.384,perf,runtime,,,,,,,,,,,,8.36,8.36,1.67,1.67,8.36,7.1,6.1,3,156.5,valid,33,2,True,60363,62245,0.86,605,542,606,542,-43.5,146.4,1014.0,1014.0,,0,0,0.0,,,0,0,0.0,plastic bag:0.86;plastic bag:0.75;plastic bag:0.62,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.86,""qr"":"""",""valid"":true,""x_mm"":-43.5,""y_mm"":146.4,""z_mm"":1014.0,""status"":""valid""},{""idx"":2,""label"":""plastic bag"",""conf"":0.754,""qr"":"""",""valid"":true,""x_mm"":132.8,""y_mm"":227.1,""z_mm"":924.0,""status"":""secondary valid""},{""idx"":3,""label"":""plastic bag"",""conf"":0.617,""qr"":"""",""valid"":true,""x_mm"":162.3,""y_mm"":53.5,""z_mm"":1057.0,""status"":""secondary valid""}]"
38,2026-08-10T15:45:58.983,perf,runtime,,,,,,,,,,,,8.36,8.36,1.67,1.67,8.36,6.2,6.6,3,14.2,valid,38,2,True,61225,62245,0.853,605,543,606,542,-43.5,145.8,1014.0,1014.0,,0,0,0.0,,,0,0,0.0,plastic bag:0.85;plastic bag:0.73;plastic bag:0.31,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.853,""qr"":"""",""valid"":true,""x_mm"":-43.5,""y_mm"":145.8,""z_mm"":1014.0,""status"":""valid""},{""idx"":2,""label"":""plastic bag"",""conf"":0.734,""qr"":"""",""valid"":true,""x_mm"":133.4,""y_mm"":228.0,""z_mm"":928.0,""status"":""secondary valid""},{""idx"":3,""label"":""plastic bag"",""conf"":0.308,""qr"":"""",""valid"":true,""x_mm"":158.9,""y_mm"":51.2,""z_mm"":1057.0,""status"":""secondary valid""}]"
